"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"WPG","2011-2012",82,3897.03,3190.25,3175.17,15.08,50.12,49.12,48.89,142.61,151.28,-8.67,48.52,2.2,2.33,149.01,144.73,4.28,50.73,2.29,2.23,285,271,-14,8.09,91.22,99.31
"WPG","2012-2013",48,2354.72,1934.01,1968.64,-34.63,49.56,49.28,50.16,86.53,96.1,-9.57,47.38,2.2,2.45,85.49,89.99,-4.5,48.72,2.18,2.29,157,149,-8,8.76,90.87,99.63
"WPG","2013-2014",82,3881.86,3181.81,3192.79,-10.98,49.91,49.18,49.35,143.3,152.29,-8.99,48.48,2.21,2.35,151.39,145.28,6.11,51.03,2.34,2.25,306,269,-37,8.19,91.19,99.38
"WPG","2014-2015",82,3773.4,3098.96,2725.77,373.19,53.2,49.28,43.34,138.06,117.74,20.32,53.97,2.2,1.87,146.65,127.18,19.47,53.56,2.33,2.02,341,291,-50,8.32,92.16,100.49
"WPG","2015-2016",82,3864.69,3109.42,2959.79,149.63,51.23,48.27,45.95,137,138.56,-1.56,49.72,2.13,2.15,141.43,140.25,1.18,50.21,2.2,2.18,301,272,-29,7.98,91.53,99.51
"WPG","2016-2017",82,3878.01,2977.59,3065.92,-88.33,49.27,46.07,47.44,150.24,157.17,-6.93,48.87,2.32,2.43,141.9,137.01,4.89,50.88,2.2,2.12,252,262,10,8.97,91.01,99.98
"WSH","2007-2008",81,3592.3,3068.91,2450.51,618.4,55.6,51.26,40.93,133.09,122.95,10.14,51.98,2.22,2.05,137.78,113.37,24.41,54.86,2.3,1.89,307,310,3,8.01,91.21,99.22
"WSH","2008-2009",82,3660.33,3347.75,2756.34,591.41,54.84,54.88,45.18,140.64,131.87,8.77,51.61,2.31,2.16,145.26,123.59,21.67,54.03,2.38,2.03,337,310,-27,7.75,91.42,99.17
"WSH","2009-2010",82,3798.3,3481.93,3014.44,467.49,53.6,55,47.62,199.13,127.64,71.49,60.94,3.15,2.02,147.72,140.4,7.32,51.27,2.33,2.22,275,267,-8,10.76,92.45,103.22
"WSH","2010-2011",82,3825.4,3223.53,3056.32,167.21,51.33,50.56,47.94,136.41,127.73,8.68,51.64,2.14,2,136.46,127.65,8.81,51.67,2.14,2,297,261,-36,7.95,92.14,100.09
"WSH","2011-2012",82,3952.25,3054.08,3194.99,-140.91,48.87,46.36,48.5,141.27,136.06,5.21,50.94,2.14,2.07,131.17,130.89,0.28,50.05,1.99,1.99,246,235,-11,8.58,92.12,100.7
"WSH","2012-2013",48,2289.75,1797.18,1868.09,-70.91,49.03,47.09,48.95,85.14,79.16,5.98,51.82,2.23,2.07,78.32,81.44,-3.12,49.02,2.05,2.13,167,174,7,8.91,92.49,101.4
"WSH","2013-2014",82,3890.08,2946.14,3244.28,-298.14,47.59,45.44,50.04,125.33,147.41,-22.08,45.95,1.93,2.27,128.37,139.16,-10.79,47.98,1.98,2.15,290,292,2,7.9,91.95,99.85
"WSH","2014-2015",82,3893.65,3151.27,2969.85,181.42,51.48,48.56,45.76,138.25,127.33,10.92,52.06,2.13,1.96,133.84,121.16,12.68,52.49,2.06,1.87,300,273,-27,8.42,91.96,100.38
"WSH","2015-2016",82,3939.32,3289.69,3086.84,202.85,51.59,50.11,47.02,150.66,121.2,29.46,55.42,2.29,1.85,138.54,130.2,8.34,51.55,2.11,1.98,248,256,8,8.37,92.49,100.86
"WSH","2016-2017",82,3907.75,3259.4,2911.81,347.59,52.82,50.05,44.71,169.47,108.62,60.85,60.94,2.6,1.67,140.86,134.62,6.24,51.13,2.16,2.07,278,238,-40,9.51,93.15,102.66
