"","Player","Season","Season.Type","Position","Team","GP","TOI","Rel.CF60","Rel.CA60","Rel.CF%","Rel.CSh%","Rel.CSv%","Rel.FF60","Rel.FA60","Rel.FF%","Rel.FSh%","Rel.FSv%","Rel.SF60","Rel.SA60","Rel.SF%","Rel.Sh%","Rel.Sv%","Rel.GF60","Rel.GA60","Rel.GF%","Rel.xGF60","Rel.xGA60","Rel.xGF%","Rel.xFSh%","Rel.xFSv%","Rel.SCF60","Rel.SCA60","Rel.SCF%","Rel.ZSR"
"26","PATRIC.HORNQVIST","2015-2017","Regular","R","PIT",117,1529.23,10.85,-2.77,5.66,0.17,0.08,6.93,-3.17,5.72,0.37,-0.04,6.07,-1.67,5.74,0.3,0.1,0.57,-0.14,7.01,0.74,-0.15,7.72,0.63,-0.08,3.02,-0.81,9.57,7.39
"27","PHIL.KESSEL","2015-2017","Regular","C","PIT",123,1669.34,1.22,1.68,-0.26,0.89,0.15,0.28,3.73,-2.13,1.26,0.5,0.54,2.62,-1.75,1.61,0.64,0.59,-0.02,5.64,-0.24,0.38,-6.12,-0.58,-0.4,-1.66,1.17,-7.93,17.6
"28","ROB.SCUDERI","2015-2016","Regular","D","PIT",63,350.44,-2.26,1.45,-1.67,1.17,0.08,-0.56,-1.39,0.45,1.43,-0.14,-2.48,-1.12,-1.21,2.37,-0.21,0.55,0,7.73,0.22,-0.21,4.4,0.63,0.29,-0.01,-0.96,2.89,4.94
"29","SCOTT.WILSON","2015-2017","Regular","C","PIT",62,610.37,-0.38,-0.78,0.2,-1.68,-0.65,0.13,-2.5,1.67,-2.28,-1.16,0.66,-2.46,2.55,-3.15,-1.67,-1.02,0.32,-14.54,0.19,-0.04,2.01,0.4,-0.28,0.39,0.62,-0.88,-13.18
"30","SERGEI.PLOTNIKOV","2015-2016","Regular","L","PIT",45,294.82,-1.06,-7.51,3.09,-0.6,-0.2,-1.1,-6.13,3.24,-0.77,-0.33,-2.24,-3.34,1.09,-0.86,-0.18,-0.37,-0.17,-4.29,-0.27,-0.56,3.92,-0.49,0.6,-1.49,-2.25,3.89,-5.77
"31","SIDNEY.CROSBY","2015-2017","Regular","C","PIT",115,1680.11,9.55,0.93,3.44,0.61,-0.49,5.96,-0.25,3.37,0.98,-0.79,4.54,-0.57,3.74,1.29,-1.15,0.81,0.3,3.6,0.47,0.25,1.27,0.2,-0.67,1.86,1.48,-0.16,5.44
"32","STEVE.OLEKSY","2016-2017","Regular","D","PIT",9,110.53,7.1,-15.02,9.84,1.27,-1.13,6.58,-11.34,10.65,1.53,-1.53,6.5,-8.26,11.17,1.66,-1.85,1.08,0,10,0.44,-1.48,18.77,-0.01,2.01,1.91,-6.44,23.3,2.98
"33","TOM.KUHNHACKL","2015-2017","Regular","R","PIT",66,657.59,-17.3,4.03,-9.51,0.42,0.38,-12.1,2.03,-8.39,0.41,0.42,-8.66,1.11,-7.71,0.44,0.47,-0.58,-0.06,-4.58,-0.73,-0.11,-5.17,0.16,0.57,-1.32,-0.05,-2.97,-30.36
"34","TOM.SESTITO","2015-2017","Regular","L","PIT",12,65.82,-31.25,-3.86,-17.08,2.9,2.58,-23.1,-3.65,-16.34,3.74,3.44,-19.17,-5.59,-16.54,6.31,4.18,-0.48,-1.53,18.1,-1.73,-0.69,-15.2,-1.11,1.26,-4.71,-1.53,-10.71,-1.65
"35","TREVOR.DALEY","2015-2017","Regular","D","PIT",118,1393.91,-2.11,4.69,-3.01,0.09,0.01,-1.75,3.27,-2.99,0.14,-0.01,-0.69,3.93,-3.74,0.03,0.32,-0.04,0.18,-2.46,-0.14,0.15,-2.79,-0.06,0.09,-0.19,0.65,-2.49,1.04
