"","Player","Date","Team","Position","TOI","CF","CA","OCF","OCA","CF60","CA60","CF%","OCF%","Rel.CF%","C+/-"
"550","ERIC.FEHR","2008-03-12","WSH","R",7.56,8.51,6.91,22.73,30.44,67.51,54.84,55.18,42.75,12.42,1.6
"551","ERIC.FEHR","2008-03-09","WSH","R",8.32,13.57,6.5,29.32,33.43,97.86,46.91,67.6,46.73,20.87,7.07
"552","ERIC.FEHR","2008-03-05","WSH","R",7.34,2.28,2.76,47.34,25.61,18.64,22.52,45.29,64.9,-19.61,-0.47
"553","ERIC.FEHR","2008-03-03","WSH","R",7.71,4.97,5.89,28.72,22.15,38.66,45.82,45.76,56.46,-10.7,-0.92
"554","ERIC.FEHR","2008-02-29","WSH","R",9.94,7.83,6.05,32.92,24.41,47.26,36.49,56.43,57.42,-0.99,1.78
"555","ERIC.FEHR","2008-02-26","WSH","R",10.3,13.23,5.56,38.56,46.63,77.08,32.38,70.41,45.26,25.15,7.67
"556","ERIC.FEHR","2008-02-24","WSH","R",9.61,17.3,7.81,42.47,26.31,107.99,48.75,68.9,61.75,7.15,9.49
"557","ERIC.FEHR","2008-02-15","WSH","R",6.3,8.31,1.84,25.71,21.45,79.13,17.5,81.89,54.51,27.38,6.47
"558","ERIC.FEHR","2008-02-13","WSH","R",10.41,11.59,8.91,39.78,22.99,66.79,51.34,56.54,63.38,-6.83,2.68
"559","ERIC.FEHR","2008-02-10","WSH","R",7.72,6.37,6.55,23.61,27.59,49.5,50.88,49.31,46.12,3.19,-0.18
"560","ERIC.FEHR","2008-02-08","WSH","R",7.82,13.15,4.99,30.15,22.13,100.88,38.27,72.5,57.67,14.82,8.16
"561","ERIC.FEHR","2008-02-06","WSH","R",13.5,21.45,12.36,29.18,33.64,95.32,54.95,63.43,46.45,16.98,9.08
"562","ERIC.FEHR","2008-02-05","WSH","R",14.97,30.76,8.55,33.45,26.76,123.28,34.26,78.25,55.55,22.7,22.21
