"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2015-10-10,1,60,47.39,72.35,-24.95,39.58,47.39,72.35,0,2.01,-2.01,0,0,2.01,2.32,3.07,-0.75,43.06,2.32,3.07,1,1,0,0,95.13,95.13
"ANA",2015-10-12,1,65,68.15,47.95,20.2,58.7,62.91,44.26,0.86,0.8,0.06,51.77,0.79,0.74,2.21,1.64,0.57,57.45,2.04,1.51,3,3,0,2.84,96.97,99.81
"ANA",2015-10-14,1,60,43.53,46.53,-3,48.34,43.53,46.53,0,3.45,-3.45,0,0,3.45,1.88,1.85,0.02,50.29,1.88,1.85,7,4,-3,0,86.88,86.88
"ANA",2015-10-16,1,60,67.81,41.18,26.63,62.22,67.81,41.18,0,2.18,-2.18,0,0,2.18,1.98,1.52,0.46,56.57,1.98,1.52,4,7,3,0,90.53,90.53
"ANA",2015-10-18,1,60,41.56,56.23,-14.66,42.5,41.56,56.23,3.3,1.07,2.22,75.45,3.3,1.07,2.03,2.98,-0.95,40.51,2.03,2.98,1,2,1,15.63,96.14,111.77
"ANA",2015-10-22,1,60,42.29,43.19,-0.9,49.47,42.29,43.19,0.39,3.54,-3.15,9.96,0.39,3.54,1.24,1.51,-0.27,45.05,1.24,1.51,5,5,0,1.91,87.14,89.05
"ANA",2015-10-24,1,60,40.51,52.52,-12.01,43.55,40.51,52.52,0,4.26,-4.26,0,0,4.26,1.03,1.4,-0.37,42.38,1.03,1.4,5,1,-4,0,84.52,84.52
"ANA",2015-10-26,1,60.85,46.06,44.96,1.09,50.6,45.41,44.33,0,0.52,-0.52,0,0,0.51,1.73,1.77,-0.04,49.45,1.71,1.74,7,6,-1,0,97.65,97.65
"ANA",2015-10-27,1,60,38.66,57.84,-19.18,40.06,38.66,57.84,2.27,4.52,-2.26,33.37,2.27,4.52,1.68,4.12,-2.44,29,1.68,4.12,4,5,1,13.56,87.9,101.46
"ANA",2015-10-29,1,60,41.24,45.9,-4.66,47.33,41.24,45.9,0.33,1.79,-1.46,15.61,0.33,1.79,1.69,1.37,0.32,55.22,1.69,1.37,7,6,-1,1.62,94.08,95.7
"ANA",2015-11-01,1,60,60.04,55.85,4.2,51.81,60.04,55.85,4.47,1,3.47,81.75,4.47,1,2.47,3.04,-0.57,44.81,2.47,3.04,7,4,-3,13.03,96.67,109.7
"ANA",2015-11-04,1,65,61.38,40.68,20.69,60.14,56.66,37.55,1.13,1.92,-0.79,37.12,1.05,1.77,2.46,1.88,0.58,56.65,2.27,1.74,3,5,2,3.34,90.66,94
"ANA",2015-11-06,1,60,57.16,39.81,17.35,58.94,57.16,39.81,2.6,1.42,1.19,64.73,2.6,1.42,2.8,2.17,0.63,56.31,2.8,2.17,4,5,1,8.1,94.72,102.82
"ANA",2015-11-07,1,60,34.92,42.36,-7.43,45.19,34.92,42.36,0.85,0,0.85,100,0.85,0,1.53,2.07,-0.54,42.47,1.53,2.07,7,5,-2,6.07,100,106.07
"ANA",2015-11-09,1,61.3,59.88,42.98,16.9,58.22,58.61,42.07,2.31,2.32,-0.01,49.9,2.26,2.27,2.07,2.28,-0.2,47.66,2.03,2.23,5,4,-1,7.08,90.4,97.48
"ANA",2015-11-11,1,61.27,55.71,51.66,4.05,51.89,54.56,50.59,2.13,2.62,-0.49,44.85,2.09,2.57,2.78,2.22,0.56,55.59,2.72,2.18,3,3,0,6.35,88.3,94.65
"ANA",2015-11-13,1,60,55.85,54.11,1.74,50.79,55.85,54.11,0.14,3.38,-3.24,3.95,0.14,3.38,1.93,2.54,-0.6,43.26,1.93,2.54,7,5,-2,0.58,85,85.58
"ANA",2015-11-16,1,60,35.68,41.09,-5.41,46.47,35.68,41.09,2.83,0.87,1.96,76.57,2.83,0.87,1.8,1.41,0.39,56.01,1.8,1.41,3,0,-3,15.05,95.83,110.89
"ANA",2015-11-17,1,60,70.8,39.19,31.61,64.37,70.8,39.19,1.85,2.49,-0.64,42.58,1.85,2.49,2.6,2.18,0.42,54.41,2.6,2.18,8,7,-1,4.23,88.48,92.7
"ANA",2015-11-19,1,60,55.73,36.18,19.55,60.64,55.73,36.18,2.94,1.19,1.75,71.18,2.94,1.19,3.32,1.28,2.04,72.2,3.32,1.28,4,4,0,7.43,94.47,101.89
