"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"TOR",2017-10-21,1,60,55.92,54,1.92,50.87,55.92,54,2.08,5.41,-3.33,27.76,2.08,5.41,1.71,3.28,-1.57,34.31,1.71,3.28,2,2,0,6.99,84.26,91.26
"TOR",2017-10-23,1,60,50.9,63.87,-12.97,44.35,50.9,63.87,2.59,3.45,-0.86,42.86,2.59,3.45,2.73,2.53,0.2,51.88,2.73,2.53,5,9,4,9.01,91.08,100.08
"TOR",2017-10-26,1,60,53.87,60.77,-6.9,46.99,53.87,60.77,2.87,5,-2.12,36.51,2.87,5,3.9,3.4,0.5,53.44,3.9,3.4,2,3,1,9.32,85.14,94.46
"TOR",2017-10-28,1,60,47.63,55.32,-7.69,46.27,47.63,55.32,1.83,3.15,-1.32,36.73,1.83,3.15,2.59,2.08,0.52,55.52,2.59,2.08,1,3,2,7.86,91.29,99.15
"TOR",2017-10-30,1,60,47.59,58.15,-10.56,45.01,47.59,58.15,1.77,1.47,0.3,54.62,1.77,1.47,2.21,2.01,0.2,52.39,2.21,2.01,4,0,-4,10.53,95.59,106.12
"TOR",2017-11-01,1,60,46.46,44.55,1.91,51.05,46.46,44.55,3.34,1.09,2.25,75.41,3.34,1.09,2.61,1.38,1.23,65.47,2.61,1.38,4,2,-2,12.76,95.42,108.18
"TOR",2017-11-02,1,60,53.22,50.33,2.89,51.39,53.22,50.33,2.16,3.75,-1.59,36.58,2.16,3.75,3.27,3.48,-0.21,48.45,3.27,3.48,5,7,2,6.89,86.84,93.73
"TOR",2017-11-04,1,60,40.67,61.4,-20.74,39.84,40.67,61.4,4.02,4.95,-0.93,44.83,4.02,4.95,1.88,2.79,-0.91,40.29,1.88,2.79,4,3,-1,14.84,82.72,97.56
"TOR",2017-11-06,1,65,52.1,50.44,1.66,50.81,48.1,46.56,2.11,2.42,-0.31,46.63,1.95,2.23,1.92,2.43,-0.51,44.13,1.77,2.24,3,4,1,7.24,90.14,97.38
"TOR",2017-11-08,1,60,39.66,53.21,-13.55,42.7,39.66,53.21,3.07,1.32,1.75,69.89,3.07,1.32,1.7,4.19,-2.49,28.86,1.7,4.19,4,2,-2,16.06,95.65,111.71
"TOR",2017-11-10,1,61.12,56.08,58.47,-2.39,48.96,55.06,57.4,1.33,1.41,-0.08,48.46,1.3,1.39,3.15,3.11,0.04,50.33,3.09,3.05,4,6,2,4.95,96.19,101.14
"TOR",2017-11-11,1,60,47.35,46.41,0.95,50.5,47.35,46.41,2.47,0.87,1.6,74.04,2.47,0.87,1.55,2.37,-0.83,39.47,1.55,2.37,6,5,-1,9.1,97.25,106.35
"TOR",2017-11-16,1,64.95,47.66,58.84,-11.18,44.75,44.03,54.36,0.48,0,0.48,100,0.44,0,2.36,2.6,-0.24,47.54,2.18,2.4,3,2,-1,2.42,100,102.42
"TOR",2017-11-18,1,60,52.01,50.39,1.63,50.79,52.01,50.39,5.45,0,5.45,100,5.45,0,2.6,1.56,1.04,62.46,2.6,1.56,5,6,1,19.67,100,119.67
"TOR",2017-11-20,1,60,54.12,39.19,14.93,58,54.12,39.19,0.5,1.15,-0.66,30.07,0.5,1.15,2.48,1.66,0.82,59.88,2.48,1.66,4,1,-3,2.01,95.45,97.45
"TOR",2017-11-22,1,65,54.17,53.81,0.36,50.17,50,49.67,0.78,0.93,-0.16,45.45,0.72,0.86,2.95,2.26,0.68,56.56,2.72,2.09,3,3,0,2.24,97.54,99.79
"TOR",2017-11-24,1,60,39.79,64.55,-24.76,38.13,39.79,64.55,4.17,3.25,0.92,56.19,4.17,3.25,2.08,4.86,-2.78,29.95,2.08,4.86,2,2,0,15.79,90.62,106.41
"TOR",2017-11-25,1,60,46.25,40.64,5.61,53.23,46.25,40.64,2.03,2.65,-0.62,43.36,2.03,2.65,2.15,1.6,0.55,57.36,2.15,1.6,3,1,-2,8.69,86.93,95.61
"TOR",2017-11-28,1,60,56.18,41.91,14.27,57.27,56.18,41.91,3,0.84,2.15,78.08,3,0.84,2.21,1.14,1.07,65.98,2.21,1.14,3,2,-1,10.64,95.22,105.85
"VAN",2017-10-07,1,60,46.33,54.87,-8.55,45.78,46.33,54.87,2.21,1.41,0.8,61.02,2.21,1.41,2.58,2.27,0.31,53.16,2.58,2.27,6,8,2,7.34,95.3,102.64
"VAN",2017-10-10,1,65,43.48,59.61,-16.12,42.18,40.14,55.02,1.89,2.25,-0.36,45.64,1.74,2.08,1.8,2.37,-0.57,43.19,1.66,2.18,4,4,0,8.63,94.35,102.98
"VAN",2017-10-12,1,60,39.52,38.27,1.25,50.81,39.52,38.27,1.2,4.57,-3.38,20.75,1.2,4.57,1.29,1.25,0.04,50.72,1.29,1.25,2,5,3,5.36,81.17,86.53
"VAN",2017-10-14,1,60,46.35,42.91,3.44,51.93,46.35,42.91,2.08,5.25,-3.16,28.4,2.08,5.25,2.08,1.21,0.88,63.32,2.08,1.21,7,9,2,7.81,80.92,88.74
"VAN",2017-10-17,1,60,39.7,43.02,-3.32,47.99,39.7,43.02,2.15,0,2.15,100,2.15,0,1.33,1.87,-0.54,41.58,1.33,1.87,6,4,-2,10.24,100,110.24
"VAN",2017-10-19,1,60,38.85,58.53,-19.68,39.9,38.85,58.53,2.26,3.74,-1.48,37.63,2.26,3.74,1.82,3.56,-1.74,33.82,1.82,3.56,9,8,-1,11.09,88.45,99.54
"VAN",2017-10-20,1,60,52.5,39.85,12.65,56.85,52.5,39.85,4.48,2.03,2.46,68.87,4.48,2.03,3.03,2.42,0.61,55.6,3.03,2.42,3,4,1,10.87,91.93,102.79
"VAN",2017-10-22,1,60,50.96,42.69,8.26,54.41,50.96,42.69,3.58,1.24,2.34,74.28,3.58,1.24,3.4,1.68,1.71,66.86,3.4,1.68,1,2,1,10.15,93.86,104.02
"VAN",2017-10-24,1,60,39.18,47.73,-8.55,45.08,39.18,47.73,0.97,0,0.97,100,0.97,0,1.09,1.35,-0.26,44.76,1.09,1.35,4,3,-1,4.25,100,104.25
"VAN",2017-10-26,1,60,47.05,37.79,9.26,55.46,47.05,37.79,4.41,2.21,2.21,66.67,4.41,2.21,2.26,2.12,0.14,51.56,2.26,2.12,4,8,4,17,89.36,106.36
"VAN",2017-10-30,1,62.53,63.27,42.55,20.72,59.79,60.7,40.82,0.35,0.7,-0.35,33.29,0.34,0.67,2.97,3.66,-0.69,44.83,2.85,3.51,5,4,-1,0.89,97.65,98.54
"VAN",2017-11-01,1,60,65.25,41.24,24.01,61.27,65.25,41.24,0,1.25,-1.25,0,0,1.25,2.4,1.97,0.44,54.98,2.4,1.97,1,4,3,0,95.09,95.09
"VAN",2017-11-04,1,60,46.38,44.41,1.97,51.09,46.38,44.41,3.79,1.14,2.64,76.8,3.79,1.14,1.64,2.18,-0.54,42.96,1.64,2.18,4,2,-2,17.01,96.26,113.27
"VAN",2017-11-07,1,60,38.86,52.93,-14.08,42.33,38.86,52.93,5.12,1.55,3.57,76.73,5.12,1.55,1.67,2.43,-0.76,40.75,1.67,2.43,4,3,-1,25.31,94.23,119.54
"VAN",2017-11-09,1,60,30.37,81.08,-50.71,27.25,30.37,81.08,0.83,2.28,-1.45,26.75,0.83,2.28,1.17,3.45,-2.28,25.31,1.17,3.45,8,6,-2,5.04,94.06,99.1
"VAN",2017-11-11,1,60,53.4,70.88,-17.49,42.96,53.4,70.88,0,7.09,-7.09,0,0,7.09,2.89,6.09,-3.2,32.21,2.89,6.09,5,6,1,0,83.33,83.33
"VAN",2017-11-14,1,60,33.15,49.61,-16.46,40.06,33.15,49.61,1.57,1.63,-0.06,49.09,1.57,1.63,1.91,3.05,-1.14,38.52,1.91,3.05,6,5,-1,7.13,94.33,101.46
"VAN",2017-11-16,1,60,40.7,51.49,-10.78,44.15,40.7,51.49,2.02,4.14,-2.12,32.81,2.02,4.14,1.46,1.7,-0.24,46.18,1.46,1.7,0,2,2,10.5,86.37,96.87
"VAN",2017-11-18,1,62.68,47.23,52.63,-5.4,47.3,45.21,50.38,3.72,2.82,0.9,56.89,3.56,2.7,1.53,1.97,-0.44,43.71,1.47,1.89,4,4,0,17.59,90.82,108.41
