"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"BUF",2017-02-02,1,53.08,43.56,47.72,-4.17,47.72,49.23,53.94,0.83,0.7,0.13,54.19,0.93,0.79,1.7,1.93,-0.23,46.81,1.92,2.18,2,4,2,3.62,97.87,101.48
"BUF",2017-02-04,1,55.17,37.29,49.27,-11.98,43.08,40.56,53.59,4.03,0,4.03,100,4.38,0,1.74,1.31,0.43,57.06,1.9,1.43,4,3,-1,16,100,116
"BUF",2017-02-06,1,50,41.63,48.16,-6.53,46.36,49.95,57.79,0.79,0,0.79,100,0.94,0,1.07,2.31,-1.24,31.6,1.28,2.77,6,2,-4,4.63,100,104.63
"BUF",2017-02-07,1,51.3,47.34,52.79,-5.45,47.28,55.37,61.75,2.33,2.47,-0.14,48.51,2.72,2.89,1.89,3.29,-1.39,36.56,2.22,3.84,3,2,-1,9.26,91.87,101.13
"BUF",2017-02-09,1,50.85,32.21,45.7,-13.49,41.34,38.01,53.92,0.83,2.66,-1.83,23.72,0.98,3.14,1.5,1.97,-0.47,43.16,1.77,2.32,4,3,-1,3.71,91.89,95.59
"BUF",2017-02-11,1,51.13,37.35,53.33,-15.98,41.19,43.83,62.58,1.85,0,1.85,100,2.17,0,1.38,1.97,-0.59,41.2,1.62,2.31,4,2,-2,8.94,100,108.94
"BUF",2017-02-12,1,41.57,30.08,25.95,4.14,53.69,43.42,37.45,2.02,2.47,-0.44,45.05,2.92,3.56,1.38,1.29,0.09,51.72,2,1.87,7,4,-3,10.61,86.73,97.34
"BUF",2017-02-14,1,50.82,35.05,61.91,-26.86,36.15,41.38,73.09,3.4,1.72,1.68,66.39,4.02,2.03,1.98,2.15,-0.17,47.96,2.34,2.54,3,3,0,15.4,95.02,110.42
"BUF",2017-02-16,1,53.22,39.68,34.67,5,53.36,44.73,39.09,0.81,0,0.81,100,0.92,0,1.34,0.9,0.44,59.77,1.51,1.01,0,3,3,3.24,100,103.24
"BUF",2017-02-18,1,42.88,27.92,35.98,-8.07,43.69,39.06,50.34,2.06,0,2.06,100,2.88,0,0.83,1.37,-0.54,37.77,1.17,1.92,0,5,5,13.2,100,113.2
"BUF",2017-02-19,1,47.73,24.66,43.41,-18.75,36.23,30.99,54.56,0.86,4.24,-3.38,16.83,1.08,5.33,1.2,1.83,-0.63,39.58,1.5,2.29,1,2,1,5.9,84.41,90.31
"BUF",2017-02-25,1,48.3,42.32,42.08,0.24,50.14,52.57,52.28,1.77,3.65,-1.88,32.62,2.2,4.54,1.98,1.79,0.18,52.43,2.46,2.23,3,5,2,6.88,84.08,90.96
"BUF",2017-02-26,1,52.18,51,39.08,11.92,56.62,58.64,44.93,1.92,2.64,-0.72,42.09,2.21,3.04,1.8,1.58,0.22,53.26,2.07,1.82,2,1,-1,7.14,87.61,94.75
"BUF",2017-02-28,1,51.63,41.77,46.63,-4.86,47.25,48.54,54.19,3.87,2.98,0.89,56.52,4.5,3.46,1.69,2.07,-0.38,44.93,1.97,2.41,5,3,-2,16.03,89.18,105.21
"BUF",2017-03-02,1,51.43,45.53,28.02,17.51,61.9,53.12,32.69,1.05,1.79,-0.74,36.91,1.22,2.09,2.09,0.92,1.17,69.34,2.44,1.08,3,4,1,4.29,89.6,93.9
"BUF",2017-03-04,1,56.83,37.66,42.43,-4.77,47.02,39.76,44.79,0,0.81,-0.81,0,0,0.85,1.79,1.77,0.02,50.27,1.89,1.87,2,2,0,0,96.77,96.77
"BUF",2017-03-05,1,43.88,36.57,42.11,-5.54,46.48,49.99,57.57,1.69,2.85,-1.16,37.27,2.32,3.9,2.11,3.71,-1.6,36.24,2.88,5.07,4,6,2,5.53,90.59,96.12
"BUF",2017-03-07,1,49.33,39.71,41.36,-1.65,48.98,48.29,50.3,0.85,5.08,-4.23,14.32,1.03,6.18,1.86,1.51,0.35,55.22,2.26,1.84,4,4,0,3.28,74.99,78.26
"BUF",2017-03-10,1,50.93,30.58,42.46,-11.88,41.86,36.02,50.02,2.9,1.68,1.21,63.24,3.41,1.98,1.15,2.21,-1.06,34.19,1.35,2.61,3,0,-3,12.87,92.76,105.64
"BUF",2017-03-11,1,43,36.6,37.42,-0.82,49.45,51.08,52.22,2.07,3.33,-1.26,38.31,2.88,4.64,1.49,1.59,-0.1,48.3,2.07,2.22,7,5,-2,11.29,86.71,98
