"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2016-12-11,1,60,59.03,35.08,23.95,62.73,59.03,35.08,2.64,0.34,2.31,88.73,2.64,0.34,3.65,1.13,2.52,76.38,3.65,1.13,5,5,0,8.39,97.81,106.21
"ANA",2016-12-13,1,60,61.97,52.82,9.15,53.98,61.97,52.82,1.3,5,-3.7,20.66,1.3,5,2.81,2.02,0.8,58.26,2.81,2.02,5,6,1,3.65,82.44,86.09
"ANA",2016-12-15,1,60,40.53,65.18,-24.65,38.34,40.53,65.18,4.16,2.72,1.44,60.47,4.16,2.72,2.05,2.23,-0.18,47.95,2.05,2.23,4,3,-1,17.54,89.61,107.15
"ANA",2016-12-17,1,60,39.42,48.25,-8.83,44.96,39.42,48.25,2.47,5.38,-2.91,31.45,2.47,5.38,1.84,3.11,-1.27,37.13,1.84,3.11,4,3,-1,10.68,78.9,89.57
"ANA",2016-12-19,1,60,42.82,50.3,-7.48,45.98,42.82,50.3,1.61,1.58,0.02,50.36,1.61,1.58,1.96,2.93,-0.97,40.09,1.96,2.93,3,5,2,7.14,95.23,102.36
"ANA",2016-12-20,1,60,15.09,58.4,-43.3,20.54,15.09,58.4,0.84,3.42,-2.58,19.78,0.84,3.42,0.51,2.53,-2.03,16.64,0.51,2.53,6,3,-3,8.14,89.79,97.93
"ANA",2016-12-22,1,64.05,43.75,39.61,4.14,52.48,40.98,37.1,0.32,1.3,-0.97,19.82,0.3,1.21,1.66,1.2,0.46,58.03,1.55,1.12,4,6,2,1.56,93.15,94.71
"ANA",2016-12-27,1,62.77,70.29,40,30.3,63.74,67.2,38.23,1.85,2.41,-0.57,43.32,1.76,2.31,3.26,1.93,1.33,62.78,3.11,1.85,5,2,-3,5.87,89.28,95.15
"ANA",2016-12-29,1,60,38.35,42.02,-3.67,47.72,38.35,42.02,1.6,1.15,0.44,58.08,1.6,1.15,1.57,1.76,-0.19,47.08,1.57,1.76,5,7,2,7.65,95.7,103.35
"ANA",2016-12-30,1,64.02,42.56,37,5.56,53.49,39.89,34.68,3.12,1.68,1.44,64.96,2.93,1.58,1.66,2.31,-0.65,41.81,1.55,2.16,7,1,-6,11.18,91.91,103.09
"ANA",2017-01-01,1,65,54.5,63.54,-9.05,46.17,50.31,58.66,2.98,2.54,0.44,53.95,2.75,2.35,2.51,4.11,-1.6,37.87,2.31,3.8,8,5,-3,11.56,93.93,105.5
"ANA",2017-01-04,1,60,51.47,39.58,11.89,56.53,51.47,39.58,1.73,0,1.73,100,1.73,0,2.54,1.38,1.16,64.8,2.54,1.38,4,5,1,7.2,100,107.2
"ANA",2017-01-06,1,64.4,62.66,37.95,24.71,62.28,58.38,35.36,2.43,1.34,1.09,64.5,2.26,1.25,3.39,1.42,1.97,70.45,3.16,1.33,2,3,1,7.66,93.63,101.28
"ANA",2017-01-08,1,60,42.57,57.53,-14.96,42.53,42.57,57.53,0.79,0.94,-0.14,45.92,0.79,0.94,2.06,2.48,-0.42,45.32,2.06,2.48,5,4,-1,3.99,96.95,100.94
"ANA",2017-01-10,1,60,67.57,46.04,21.54,59.48,67.57,46.04,1.35,0,1.35,100,1.35,0,3.74,2.68,1.06,58.26,3.74,2.68,3,4,1,3.82,100,103.82
"ANA",2017-01-12,1,60,50.53,43.96,6.57,53.48,50.53,43.96,3.36,1.06,2.3,76.09,3.36,1.06,2.12,1.65,0.47,56.23,2.12,1.65,4,2,-2,10.58,96.25,106.83
"ANA",2017-01-14,1,60,38.27,56.78,-18.51,40.26,38.27,56.78,2.16,0,2.16,100,2.16,0,1.56,1.98,-0.42,44.03,1.56,1.98,3,2,-1,10.46,100,110.46
"ANA",2017-01-15,1,60.85,36.2,42.98,-6.78,45.72,35.7,42.38,0.48,1.12,-0.64,30.1,0.48,1.1,1.63,1.73,-0.1,48.46,1.61,1.71,4,4,0,2.51,94.56,97.06
"ANA",2017-01-17,1,60.9,41.76,51.47,-9.71,44.79,41.15,50.71,1.05,0.81,0.24,56.35,1.03,0.8,1.92,2.61,-0.7,42.33,1.89,2.58,3,5,2,6.33,96.7,103.03
"ANA",2017-01-19,1,60,60.48,37.7,22.78,61.6,60.48,37.7,1.16,0.32,0.83,78.19,1.16,0.32,2.94,1.31,1.63,69.14,2.94,1.31,2,6,4,4.33,98.21,102.53
"ANA",2017-01-21,1,60,40,38.58,1.42,50.9,40,38.58,3.42,4.79,-1.38,41.61,3.42,4.79,2.05,1.47,0.59,58.31,2.05,1.47,3,3,0,12.51,77.49,90
"ANA",2017-01-23,1,60,49.11,37.93,11.18,56.42,49.11,37.93,3.57,1.81,1.75,66.32,3.57,1.81,3.15,1.72,1.43,64.71,3.15,1.72,8,5,-3,10.89,92.49,103.39
"ANA",2017-01-25,1,60,45.34,37.57,7.77,54.69,45.34,37.57,0,3.75,-3.75,0,0,3.75,2.29,1.93,0.36,54.25,2.29,1.93,2,2,0,0,80.82,80.82
"ANA",2017-01-31,1,60,55.26,43.11,12.15,56.18,55.26,43.11,3.85,1.03,2.82,78.93,3.85,1.03,2.6,2.15,0.45,54.78,2.6,2.15,4,1,-3,11.81,95.45,107.25
"ANA",2017-02-03,1,60,37.3,48.81,-11.51,43.32,37.3,48.81,0.76,2,-1.23,27.71,0.76,2,0.99,2.09,-1.1,32.2,0.99,2.09,7,5,-2,3.68,93.59,97.27
"ANA",2017-02-04,1,65,29.82,66.42,-36.61,30.98,27.52,61.31,1.87,1.4,0.47,57.24,1.73,1.29,1.02,2.32,-1.3,30.45,0.94,2.14,8,8,0,15.78,95.51,111.28
"ANA",2017-02-07,1,60,58.52,46.08,12.44,55.94,58.52,46.08,0.81,3.14,-2.33,20.51,0.81,3.14,1.77,2.01,-0.24,46.77,1.77,2.01,2,5,3,2.48,86.14,88.62
"ANA",2017-02-09,1,60,53.45,33.91,19.54,61.18,53.45,33.91,3.24,1.18,2.06,73.23,3.24,1.18,2.33,1.59,0.73,59.38,2.33,1.59,3,5,2,8.67,94.9,103.56
"ANA",2017-02-11,1,60,35.37,59.42,-24.04,37.32,35.37,59.42,4,5.7,-1.7,41.25,4,5.7,2.13,3.11,-0.98,40.65,2.13,3.11,5,4,-1,19.99,85.47,105.47
"ANA",2017-02-14,1,60,42.51,54.41,-11.9,43.86,42.51,54.41,1.03,0,1.03,100,1.03,0,1.74,2.05,-0.31,45.91,1.74,2.05,6,0,-6,4.32,100,104.32
"ANA",2017-02-17,1,60,52.93,55.21,-2.28,48.95,52.93,55.21,2.49,2.48,0.01,50.08,2.49,2.48,3.02,3.06,-0.04,49.7,3.02,3.06,4,4,0,7.95,91.97,99.92
"ANA",2017-02-19,1,60,58.62,47.73,10.89,55.12,58.62,47.73,1.06,0,1.06,100,1.06,0,2.76,1.12,1.64,71.17,2.76,1.12,3,3,0,3.85,100,103.85
"ANA",2017-02-20,1,60,53.34,38.73,14.61,57.93,53.34,38.73,1.23,3.53,-2.3,25.83,1.23,3.53,2.34,1.93,0.41,54.78,2.34,1.93,3,2,-1,4.08,82.56,86.64
"ANA",2017-02-22,1,60,49.08,56.06,-6.97,46.68,49.08,56.06,4.29,2.44,1.86,63.8,4.29,2.44,2.57,2.18,0.4,54.16,2.57,2.18,5,3,-2,17.53,89.44,106.97
"ANA",2017-02-25,1,60,45.61,54.01,-8.4,45.79,45.61,54.01,1.06,3.35,-2.28,24.1,1.06,3.35,2.33,2.53,-0.2,47.98,2.33,2.53,7,7,0,3.81,89.5,93.31
"ANA",2017-03-03,1,60,59.14,59.42,-0.28,49.88,59.14,59.42,4.71,1.16,3.56,80.28,4.71,1.16,2.72,3.04,-0.33,47.18,2.72,3.04,4,1,-3,13.1,96.18,109.28
"ANA",2017-03-05,1,60,70.22,38.85,31.37,64.38,70.22,38.85,0.84,2.12,-1.29,28.26,0.84,2.12,3.39,2.06,1.32,62.15,3.39,2.06,2,2,0,2.37,90.59,92.96
"ANA",2017-03-07,1,65,76.73,44.09,32.65,63.51,70.83,40.7,2.05,3.81,-1.76,34.96,1.89,3.52,3.58,2.98,0.6,54.58,3.3,2.75,7,5,-2,5.4,84.13,89.53
"ANA",2017-03-09,1,60,45.81,65.65,-19.84,41.1,45.81,65.65,0.81,0,0.81,100,0.81,0,1.85,3.02,-1.17,37.93,1.85,3.02,5,4,-1,3.79,100,103.79
