"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2014-10-09,1,60,39.93,61.34,-21.4,39.43,39.93,61.34,1.77,6.94,-5.17,20.34,1.77,6.94,3.28,3.18,0.09,50.72,3.28,3.18,5,8,3,7.13,83.83,90.96
"ANA",2014-10-11,1,60,36.77,52.39,-15.62,41.24,36.77,52.39,3,1.67,1.33,64.19,3,1.67,1.29,3.24,-1.95,28.51,1.29,3.24,3,4,1,12.93,94.91,107.85
"ANA",2014-10-13,1,60,63.96,28.8,35.16,68.95,63.96,28.8,3.94,1.11,2.83,78.06,3.94,1.11,3.18,0.66,2.52,82.87,3.18,0.66,5,9,4,9.81,88.68,98.49
"ANA",2014-10-14,1,65,37.2,65.25,-28.05,36.31,34.34,60.23,2.47,1.39,1.08,64.03,2.28,1.28,1.56,2.6,-1.04,37.55,1.44,2.4,4,2,-2,10.69,95.93,106.61
"ANA",2014-10-17,1,60,49.19,43.42,5.77,53.12,49.19,43.42,3.56,0.82,2.74,81.27,3.56,0.82,2.4,2.25,0.15,51.64,2.4,2.25,5,7,2,13.8,96.34,110.14
"ANA",2014-10-19,1,60,41.61,49.3,-7.69,45.77,41.61,49.3,1.6,0,1.6,100,1.6,0,1.88,1.42,0.45,56.87,1.88,1.42,2,3,1,7.68,100,107.68
"ANA",2014-10-22,1,60,68.43,45.11,23.31,60.27,68.43,45.11,2.99,0.97,2.02,75.5,2.99,0.97,2.55,2.09,0.45,54.9,2.55,2.09,3,6,3,9.4,95.31,104.71
"ANA",2014-10-24,1,60,56.58,28.98,27.6,66.13,56.58,28.98,1.84,0.33,1.51,84.82,1.84,0.33,2.96,1.27,1.69,69.97,2.96,1.27,5,5,0,5.47,97.22,102.69
"ANA",2014-10-26,1,60,41.13,72.32,-31.19,36.25,41.13,72.32,0.29,2.34,-2.05,11.12,0.29,2.34,2.14,3.87,-1.73,35.64,2.14,3.87,17,18,1,1.4,94.36,95.76
"ANA",2014-10-28,1,60,43.92,50.34,-6.43,46.59,43.92,50.34,2.03,0,2.03,100,2.03,0,1.61,1.86,-0.25,46.43,1.61,1.86,4,2,-2,8.18,100,108.18
"ANA",2014-10-30,1,60,36.22,49.34,-13.12,42.34,36.22,49.34,0,1.7,-1.7,0,0,1.7,2.02,1.77,0.24,53.22,2.02,1.77,3,4,1,0,93.39,93.39
