"","Player","Season","Season.Type","Team","GP","TOI","CA","CSv%","FA","FSv%","SA","Sv%","xGA","xFSv%","Adj.FSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GA","Avg.DISTA","RBA","RSA","Marek","Marek%"
"1","BRADEN.HOLTBY","2016-2017","Playoffs","WSH",4,2.12,8,100,7,100,5,100,0.72,89.73,10.27,1,0,100,1,0,100,3,0,100,0.71,0,0,0,0,2,28.57
"2","BRIAN.ELLIOTT","2016-2017","Playoffs","CGY",4,0.53,1,100,1,100,1,100,0.07,93.11,6.89,0,0,NA,1,0,100,0,0,NA,0.08,0,0,0,0,0,0
"3","CAM.TALBOT","2016-2017","Playoffs","EDM",5,1.17,4,100,4,100,1,100,0.42,89.53,10.47,0,0,NA,1,0,100,0,0,NA,0.08,0,0,1,0,3,75
"4","CAREY.PRICE","2016-2017","Playoffs","MTL",5,0.72,2,100,1,100,0,NA,0.04,95.85,4.15,0,0,NA,0,0,NA,0,0,NA,0,0,50.12,0,0,1,100
"5","COREY.CRAWFORD","2016-2017","Playoffs","CHI",4,0,0,NA,0,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA
"6","CRAIG.ANDERSON","2016-2017","Playoffs","OTT",4,0.25,0,NA,0,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA
"7","DEVAN.DUBNYK","2016-2017","Playoffs","MIN",4,1,0,NA,0,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA
"8","FREDERIK.ANDERSEN","2016-2017","Playoffs","TOR",4,3.98,9,100,8,100,3,100,0.43,94.63,5.37,1,0,100,2,0,100,0,0,NA,0.18,0,30.55,0,0,5,62.5
"9","HENRIK.LUNDQVIST","2016-2017","Playoffs","NYR",5,0.35,0,NA,0,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA
"10","JAKE.ALLEN","2016-2017","Playoffs","STL",4,0.57,2,50,2,50,2,50,0.39,80.74,-30.74,0,0,NA,0,0,NA,2,1,50,-0.6,1,0,0,0,0,0
"11","JOHN.GIBSON","2016-2017","Playoffs","ANA",4,1.33,2,100,1,100,1,100,0.06,93.84,6.16,0,0,NA,1,0,100,0,0,NA,0.08,0,57.7,0,1,0,0
"12","LAURENT.BROSSOIT","2016-2017","Playoffs","EDM",1,0,0,NA,0,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA
"13","MARTIN.JONES","2016-2017","Playoffs","S.J",5,0.35,0,NA,0,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA
"14","SERGEI.BOBROVSKY","2016-2017","Playoffs","CBJ",5,0,0,NA,0,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA
