"","Player","Season","Season.Type","Team","GP","TOI","CA","CSv%","FA","FSv%","SA","Sv%","xGA","xFSv%","Adj.FSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GA","Avg.DISTA","RBA","RSA","Marek","Marek%"
"1","BRADEN.HOLTBY","2016-2017","Playoffs","WSH",4,228.73,237,95.78,170,94.12,116,91.38,9.72,94.28,-0.16,47,0,100,45,4,91.11,24,6,75,-0.57,10,32.38,22,30,54,31.76
"2","BRIAN.ELLIOTT","2016-2017","Playoffs","CGY",4,144.66,157,94.9,117,93.16,76,89.47,6.49,94.45,-1.29,37,5,86.49,24,1,95.83,15,2,86.67,-2.25,8,36.45,7,7,41,35.04
"3","CAM.TALBOT","2016-2017","Playoffs","EDM",5,232.35,219,96.8,155,95.48,109,93.58,9.1,94.13,1.36,49,1,97.96,36,3,91.67,24,3,87.5,1.78,7,31.62,10,11,46,29.68
"4","CAREY.PRICE","2016-2017","Playoffs","MTL",5,263.28,254,96.85,174,95.4,128,93.75,9.99,94.26,1.14,71,1,98.59,30,1,96.67,27,6,77.78,1.42,8,35.43,4,27,46,26.44
"5","CHAD.JOHNSON","2016-2017","Playoffs","CGY",1,41.35,31,96.77,24,95.83,17,94.12,1.58,93.41,2.42,5,0,100,7,0,100,5,1,80,0.67,1,35.9,1,2,7,29.17
"6","COREY.CRAWFORD","2016-2017","Playoffs","CHI",4,220.48,211,94.79,144,92.36,113,90.27,9.06,93.71,-1.35,48,1,97.92,37,2,94.59,28,8,71.43,-1.36,11,31.38,11,12,31,21.53
"7","CRAIG.ANDERSON","2016-2017","Playoffs","OTT",4,198.73,172,97.09,116,95.69,76,93.42,6.07,94.77,0.92,38,0,100,24,3,87.5,14,2,85.71,0.57,5,41.35,9,11,40,34.48
"8","DEVAN.DUBNYK","2016-2017","Playoffs","MIN",4,199.67,140,97.86,103,97.09,75,96,4.66,95.48,1.61,37,1,97.3,25,1,96,13,1,92.31,2.42,3,48.18,4,3,28,27.18
"9","FREDERIK.ANDERSEN","2016-2017","Playoffs","TOR",4,228.73,250,96.4,180,95,125,92.8,9.54,94.7,0.3,64,2,96.88,39,3,92.31,22,4,81.82,-0.05,9,30.58,19,24,55,30.56
"10","HENRIK.LUNDQVIST","2016-2017","Playoffs","NYR",5,263.28,275,97.82,189,96.83,138,95.65,11.8,93.76,3.07,61,0,100,40,2,95,37,4,89.19,5.99,6,32.62,11,21,51,26.98
"11","JAKE.ALLEN","2016-2017","Playoffs","STL",4,199.67,221,98.64,162,98.15,118,97.46,7.79,95.19,2.96,67,1,98.51,32,1,96.88,19,1,94.74,4.87,3,30.63,6,10,44,27.16
"12","JOHN.GIBSON","2016-2017","Playoffs","ANA",4,157.24,169,98.82,125,98.4,88,97.73,7.18,94.26,4.14,42,0,100,26,1,96.15,20,1,95,5.03,2,33.55,10,11,37,29.6
"13","JONATHAN.BERNIER","2016-2017","Playoffs","ANA",1,28.76,28,100,23,100,15,100,1.21,94.76,5.24,6,0,100,6,0,100,3,0,100,1.21,0,40.55,2,3,8,34.78
"14","LAURENT.BROSSOIT","2016-2017","Playoffs","EDM",1,12.07,4,100,4,100,1,100,0.17,95.84,4.16,0,0,NA,1,0,100,0,0,NA,0.08,0,81.76,0,0,3,75
"15","MARC-ANDRE.FLEURY","2016-2017","Playoffs","PIT",5,259.25,286,96.15,206,94.66,159,93.08,13.46,93.46,1.2,75,1,98.67,51,2,96.08,33,8,75.76,1.36,11,35.61,21,15,47,22.82
"16","MARTIN.JONES","2016-2017","Playoffs","S.J",5,244.42,257,98.05,168,97.02,116,95.69,9.97,94.06,2.96,56,1,98.21,37,1,97.3,23,3,86.96,3.81,5,31.12,7,12,52,30.95
"17","PEKKA.RINNE","2016-2017","Playoffs","NSH",4,220.48,207,99.52,143,99.3,111,99.1,7.52,94.74,4.56,60,0,100,36,0,100,15,1,93.33,6.21,1,31.6,9,8,32,22.38
"18","SERGEI.BOBROVSKY","2016-2017","Playoffs","CBJ",5,259.25,246,94.31,178,92.13,137,89.78,13.84,92.23,-0.09,53,1,98.11,47,3,93.62,37,10,72.97,-1.65,14,41.21,18,9,41,23.03
"19","TUUKKA.RASK","2016-2017","Playoffs","BOS",4,198.73,176,96.02,126,94.44,88,92.05,5.95,95.28,-0.83,49,2,95.92,20,2,90,19,3,84.21,-0.48,7,38.07,1,6,38,30.16
