"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"MARTIN.GERBER","2007-2008","OTT",28,1571.02,796,75,90.58,90.71,-0.13,96.92,92.11,76.82,-1.06
"MARTIN.GERBER","2008-2009","OTT/TOR",15,902.39,449,49,89.09,92,-2.91,96.79,88.34,74.29,-13.06
"MARTIN.GERBER","2010-2011","EDM",2,125,72,3,95.83,91.32,4.51,100,100,80,3.25
"MARTIN.JONES","2013-2014","L.A",7,402.48,155,10,93.55,92.03,1.52,98.28,90.16,91.67,2.36
"MARTIN.JONES","2014-2015","L.A",6,294.88,108,10,90.74,91.5,-0.76,95.12,88.1,88,-0.82
"MARTIN.JONES","2015-2016","S.J",33,1878.49,799,73,90.86,90.9,-0.04,98.74,88.63,80.87,-0.3
"MARTIN.JONES","2016-2017","S.J",32,1884.93,804,68,91.54,91.16,0.38,97.37,94.39,76.54,3.04
"MARTIN.JONES","2017-2018","S.J",15,867.97,407,34,91.65,90.45,1.19,97.33,92.86,81.55,4.85
"MARTY.TURCO","2007-2008","DAL",32,1860.77,744,67,90.99,91.91,-0.92,96.59,90.37,79.25,-6.82
"MARTY.TURCO","2008-2009","DAL",38,2268.09,991,103,89.61,91.59,-1.98,96.4,89.85,75.14,-19.61
"MARTY.TURCO","2009-2010","DAL",27,1574.9,788,64,91.88,92.25,-0.37,97.04,92.38,76.23,-2.94
"MARTY.TURCO","2010-2011","CHI",12,684.04,320,30,90.62,91.49,-0.87,97.12,93.75,69.64,-2.78
"MARTY.TURCO","2011-2012","BOS",1,59.2,27,5,81.48,90.63,-9.15,100,88.89,33.33,-2.47
"MATHIEU.GARON","2007-2008","EDM",25,1436.67,736,59,91.98,91.87,0.11,97.25,92.29,75.32,0.82
"MATHIEU.GARON","2008-2009","EDM/PIT",10,537.98,252,22,91.27,91.14,0.13,100,94.03,67.44,0.33
"MATHIEU.GARON","2009-2010","CBJ",13,674.76,314,25,92.04,92.41,-0.38,98.43,91.37,77.08,-1.18
"MATHIEU.GARON","2010-2011","CBJ",16,866.52,390,42,89.23,92.33,-3.09,96.88,88.08,75.95,-12.07
"MATHIEU.GARON","2011-2012","T.B",23,1217.84,536,49,90.86,92.56,-1.7,97.47,90.59,75.26,-9.13
"MATHIEU.GARON","2012-2013","T.B",7,425.11,176,17,90.34,93.28,-2.94,96.55,86.57,77.27,-5.18
"MATT.CLIMIE","2008-2009","DAL",1,60.27,26,4,84.62,91.65,-7.04,91.67,80,75,-1.83
"MATT.CLIMIE","2009-2010","DAL",1,60,38,5,86.84,90.58,-3.74,100,85.71,75,-1.42
"MATT.HACKETT","2011-2012","MIN",4,215.97,109,11,89.91,92.71,-2.8,98.11,86.11,75,-3.05
"MATT.HACKETT","2013-2014","BUF",2,120.88,69,7,89.86,93.45,-3.59,100,86.21,70,-2.48
"MATT.HACKETT","2014-2015","BUF",1,60.11,42,4,90.48,93.93,-3.45,95,89.47,66.67,-1.45
