"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ROBIN.LEHNER","2015-2016","BUF",10,601.53,334,20,94.01,92.39,1.62,98.72,97.22,78.57,5.42
"ROBIN.LEHNER","2016-2017","BUF",27,1551.69,904,72,92.04,91.57,0.46,98.17,93.66,76.84,4.2
"ROBIN.LEHNER","2017-2018","BUF",16,863.18,491,54,89,90.45,-1.45,97.77,89.11,74.55,-7.1
"ROB.ZEPP","2014-2015","PHI",6,295.65,144,17,88.19,89.4,-1.21,100,87.23,73.81,-1.74
"ROMAN.WILL","2015-2016","COL",1,18.47,3,1,66.67,91.67,-25,NA,50,100,-0.75
"RYAN.MILLER","2007-2008","BUF",36,2081.45,1011,94,90.7,90.92,-0.22,97.69,92.01,74.12,-2.22
"RYAN.MILLER","2008-2009","BUF",28,1629.83,854,74,91.33,91.54,-0.2,95.95,92.33,79.87,-1.72
"RYAN.MILLER","2009-2010","BUF",34,1956.95,1026,76,92.59,91.26,1.34,96.68,93.01,85.2,13.72
"RYAN.MILLER","2010-2011","BUF",32,1867.17,975,83,91.49,91.19,0.3,96.88,93.14,77.01,2.91
"RYAN.MILLER","2011-2012","BUF",32,1815.22,943,78,91.73,91.05,0.68,98.03,94.4,77.83,6.41
"RYAN.MILLER","2012-2013","BUF",21,1195.26,663,52,92.16,90.95,1.21,98.62,92.2,83.54,8.03
"RYAN.MILLER","2013-2014","BUF/STL",26,1503.2,870,70,91.95,91.63,0.33,98.26,93.06,77.78,2.85
"RYAN.MILLER","2014-2015","VAN",24,1275.68,625,54,91.36,91.58,-0.22,97.2,90,82.96,-1.39
"RYAN.MILLER","2015-2016","VAN",25,1494.44,808,74,90.84,90.5,0.35,97,91.41,82.33,2.79
"RYAN.MILLER","2016-2017","VAN",22,1289.97,729,67,90.81,90.96,-0.15,97.36,93.45,76.44,-1.07
"RYAN.MILLER","2017-2018","ANA",8,475.32,254,18,92.91,90.04,2.88,97.92,96.81,79.69,7.31
"SAMI.AITTOKALLIO","2012-2013","COL",1,49.33,25,2,92,92.8,-0.8,100,84.62,100,-0.2
"SAMI.AITTOKALLIO","2013-2014","COL",1,40,18,3,83.33,92.06,-8.72,87.5,83.33,75,-1.57
"SCOTT.CLEMMENSEN","2007-2008","TOR",1,59.85,24,6,75,90.62,-15.62,100,92.31,16.67,-3.75
"SCOTT.CLEMMENSEN","2008-2009","N.J",20,1205.22,617,50,91.9,92.03,-0.13,99.57,93.13,69.15,-0.81
"SCOTT.CLEMMENSEN","2009-2010","FLA",12,669.2,385,33,91.43,91.85,-0.42,96.55,90.82,83.87,-1.63
"SCOTT.CLEMMENSEN","2010-2011","FLA",16,864.09,441,43,90.25,91.54,-1.29,97.55,92.02,73.33,-5.69
"SCOTT.CLEMMENSEN","2011-2012","FLA",16,812.75,404,36,91.09,91.33,-0.24,98.74,90.97,77.78,-0.97
"SCOTT.CLEMMENSEN","2012-2013","FLA",11,551.28,260,32,87.69,89.22,-1.53,96.51,91.49,73.75,-3.98
"SCOTT.CLEMMENSEN","2013-2014","FLA",12,650.33,331,33,90.03,90.52,-0.49,97.6,89.34,79.76,-1.63
"SCOTT.CLEMMENSEN","2014-2015","N.J",3,101.59,54,8,85.19,88.52,-3.33,100,89.47,75,-1.8
"SCOTT.DARLING","2014-2015","CHI",9,547.78,280,22,92.14,91.09,1.06,97.78,95.8,78.87,2.96
"SCOTT.DARLING","2015-2016","CHI",18,954.75,467,45,90.36,91.34,-0.97,96.07,91.57,79.28,-4.54
"SCOTT.DARLING","2016-2017","CHI",16,824.91,421,36,91.45,91.33,0.12,97.63,91.19,80.65,0.5
"SCOTT.DARLING","2017-2018","CAR",14,844.33,384,42,89.06,90.9,-1.84,96.53,90.2,74.71,-7.05
"SCOTT.WEDGEWOOD","2015-2016","N.J",2,118.5,62,3,95.16,90.95,4.21,100,100,82.35,2.61
"SCOTT.WEDGEWOOD","2017-2018","ARI",9,528.22,312,29,90.71,90.88,-0.18,98.32,90.76,78.38,-0.55
"SEBASTIEN.CARON","2011-2012","T.B",2,73.92,29,5,82.76,91.31,-8.55,81.82,90.91,71.43,-2.48
"SEMYON.VARLAMOV","2008-2009","WSH",4,206.79,98,6,93.88,91.91,1.97,96.55,96.3,80,1.93
"SEMYON.VARLAMOV","2009-2010","WSH",13,768.34,387,39,89.92,91.58,-1.65,96.64,88.5,82.35,-6.4
"SEMYON.VARLAMOV","2010-2011","WSH",13,716.08,362,31,91.44,92.07,-0.63,96.99,93.87,74.24,-2.29
"SEMYON.VARLAMOV","2011-2012","COL",28,1642.25,841,81,90.37,90.82,-0.45,97.78,92.21,75.98,-3.78
"SEMYON.VARLAMOV","2012-2013","COL",17,882.59,478,54,88.7,89.71,-1.01,97.39,92.06,74.26,-4.82
"SEMYON.VARLAMOV","2013-2014","COL",26,1465.75,839,61,92.73,91.32,1.41,97.71,95.14,80.69,11.8
"SEMYON.VARLAMOV","2014-2015","COL",29,1641.38,929,80,91.39,90.78,0.61,96.18,94.68,77.93,5.65
"SEMYON.VARLAMOV","2015-2016","COL",24,1305.57,710,55,92.25,91.27,0.98,95.56,95.98,80.95,6.98
"SEMYON.VARLAMOV","2016-2017","COL",11,610.52,348,35,89.94,91.18,-1.24,99.22,88.73,76.62,-4.31
"SEMYON.VARLAMOV","2017-2018","COL",12,723.03,379,39,89.71,90.19,-0.48,93.7,95.6,74.19,-1.81
"SERGEI.BOBROVSKY","2010-2011","PHI",23,1291.8,675,54,92,91.45,0.55,99.14,91.69,80.99,3.7
"SERGEI.BOBROVSKY","2011-2012","PHI",16,941.9,464,40,91.38,90.54,0.84,98.66,92.42,80.34,3.89
"SERGEI.BOBROVSKY","2012-2013","CBJ",18,1049.75,506,42,91.7,91.13,0.57,98.03,95.53,75.81,2.88
"SERGEI.BOBROVSKY","2013-2014","CBJ",29,1663.48,883,68,92.3,91.56,0.74,98.59,92.8,79.01,6.55
"SERGEI.BOBROVSKY","2014-2015","CBJ",23,1326.34,743,58,92.19,91.15,1.04,98.48,92.93,80.95,7.72
"SERGEI.BOBROVSKY","2015-2016","CBJ",16,928.84,475,36,92.42,91.77,0.65,97.1,94.38,77.78,3.07
"SERGEI.BOBROVSKY","2016-2017","CBJ",29,1676.83,797,65,91.84,91.23,0.61,97.48,93.33,79.44,4.89
"SERGEI.BOBROVSKY","2017-2018","CBJ",18,1097.73,551,52,90.56,90.5,0.06,96.17,91.26,80.88,0.34
"SPENCER.MARTIN","2016-2017","COL",2,121.31,70,8,88.57,82.89,5.69,100,92.59,82.35,3.98
"STEPHEN.VALIQUETTE","2007-2008","NYR",10,561.02,246,17,93.09,91.79,1.3,98.75,91.54,86.11,3.19
"STEPHEN.VALIQUETTE","2008-2009","NYR",10,590.55,325,33,89.85,90.92,-1.07,97.85,88.96,81.16,-3.49
"STEPHEN.VALIQUETTE","2009-2010","NYR",2,117.37,50,5,90,91.6,-1.6,100,78.95,91.67,-0.8
"STEVE.MASON","2008-2009","CBJ",28,1708.31,767,64,91.66,91.19,0.47,97.96,94.05,75.66,3.57
"STEVE.MASON","2009-2010","CBJ",27,1380.84,738,84,88.62,91.39,-2.78,95.35,88.86,75.54,-20.48
"STEVE.MASON","2010-2011","CBJ",26,1423.35,764,76,90.05,90.98,-0.93,99.23,91.06,71.43,-7.12
"STEVE.MASON","2011-2012","CBJ",20,1087.98,616,70,88.64,91.53,-2.9,99.25,90.87,65.73,-17.85
"STEVE.MASON","2012-2013","CBJ/PHI",12,667.97,343,29,91.55,91.93,-0.38,95.45,94.56,76.56,-1.31
"STEVE.MASON","2013-2014","PHI",26,1506.13,764,66,91.36,92.49,-1.13,95.27,94.58,74.05,-8.64
"STEVE.MASON","2014-2015","PHI",23,1240.75,616,53,91.4,91.5,-0.1,97.61,94.21,73.17,-0.63
"STEVE.MASON","2015-2016","PHI",26,1480.18,766,70,90.86,90.62,0.24,98.55,93.84,75.76,1.87
