"","Player","Date","Team","Position","TOI","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF"
"1","ADAM.LARSSON","2017-05-10","EDM","D",20.98,3,2,1,0.03,0,0,0,0,0,5,2,0,0,4,8.58,5.72,2.86,0.08,1.39,0,NA,0
"2","ADAM.LARSSON","2017-05-07","EDM","D",16.45,3,3,0,0.03,0,0,0,0,0,0,7,1,1,1,10.94,10.94,0,0.12,1.06,0,NA,0
"3","ADAM.LARSSON","2017-05-05","EDM","D",35.99,2,1,1,0.02,0,0,0,0,0,1,3,1,1,3,3.33,1.67,1.67,0.03,1.76,0,NA,0
"4","ADAM.LARSSON","2017-05-03","EDM","D",16.64,4,1,1,0.02,0,0,0,0,0,1,3,1,1,0,14.42,3.61,3.61,0.06,1.64,0,NA,0
"5","ADAM.LARSSON","2017-04-30","EDM","D",16.71,0,0,0,0,0,0,0,1,0,6,2,1,1,0,0,0,0,0,NA,0,NA,-1
"6","ADAM.LARSSON","2017-04-28","EDM","D",16.37,4,4,3,0.24,1,0,0,0,0,2,2,1,0,1,14.66,14.66,11,0.89,6.04,3.67,NA,0
"7","ADAM.LARSSON","2017-04-26","EDM","D",17.16,5,4,2,0.22,1,0,0,0,0,3,5,0,0,2,17.48,13.99,6.99,0.76,5.42,3.5,NA,0
"8","ADAM.LARSSON","2017-04-22","EDM","D",20.77,0,0,0,0,0,0,0,0,0,4,5,0,0,2,0,0,0,0,NA,0,NA,0
"9","ADAM.LARSSON","2017-04-20","EDM","D",25.58,6,3,2,0.05,0,0,0,0,0,3,1,0,0,2,14.07,7.04,4.69,0.12,1.66,0,NA,0
"10","ADAM.LARSSON","2017-04-18","EDM","D",15.98,2,2,1,0.06,0,0,0,0,0,1,1,0,0,3,7.51,7.51,3.75,0.21,2.85,0,NA,0
"11","ADAM.LARSSON","2017-04-16","EDM","D",18.03,2,1,1,0.01,0,0,0,0,0,0,4,2,0,0,6.66,3.33,3.33,0.04,1.26,0,NA,0
"12","ADAM.LARSSON","2017-04-14","EDM","D",15.73,2,1,1,0.01,0,0,0,1,0,5,2,2,0,0,7.63,3.81,3.81,0.05,1.23,0,NA,-1
"13","ADAM.LARSSON","2017-04-12","EDM","D",16.76,2,1,1,0.02,0,0,0,0,1,7,2,1,0,2,7.16,3.58,3.58,0.08,2.17,0,NA,1
"14","ADAM.MCQUAID","2017-04-15","BOS","D",2.08,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,0,NA,0
"15","ADAM.MCQUAID","2017-04-12","BOS","D",17.68,3,2,2,0.03,0,0,0,0,0,1,2,0,0,3,10.18,6.79,6.79,0.09,1.4,0,NA,0
"16","ALEX.BURROWS","2017-05-13","OTT","L",7.99,2,2,2,0.27,1,0,0,0,0,0,3,1,1,0,15.02,15.02,15.02,2.03,13.49,7.51,NA,0
"17","ALEX.BURROWS","2017-05-09","OTT","L",11.2,1,1,1,0.01,0,0,0,0,0,0,2,0,1,2,5.36,5.36,5.36,0.04,0.78,0,NA,0
"18","ALEX.BURROWS","2017-05-06","OTT","L",10.36,2,2,2,0.04,0,0,0,0,0,1,3,0,1,1,11.58,11.58,11.58,0.24,2.1,0,NA,0
"19","ALEX.BURROWS","2017-05-04","OTT","L",9.65,2,0,0,0,0,0,0,0,0,3,4,0,0,0,12.44,0,0,0,NA,0,NA,0
"20","ALEX.BURROWS","2017-05-02","OTT","L",11.12,2,1,0,0.08,0,0,0,0,0,1,4,2,0,1,10.79,5.4,0,0.42,7.74,0,NA,0
"21","ALEX.BURROWS","2017-04-29","OTT","L",13.93,7,4,2,0.32,2,0,0,0,0,3,5,0,0,0,30.15,17.23,8.61,1.38,8.01,8.61,NA,0
"22","ALEX.BURROWS","2017-04-27","OTT","L",10.46,2,1,1,0.07,0,0,0,0,0,4,3,0,0,0,11.47,5.74,5.74,0.4,6.96,0,NA,0
"23","ALEX.BURROWS","2017-04-23","OTT","L",11.84,1,1,1,0.1,1,0,0,0,0,2,0,0,0,0,5.07,5.07,5.07,0.51,10.16,5.07,NA,0
"24","ALEX.BURROWS","2017-04-19","OTT","L",12.78,3,3,3,0.13,0,0,0,1,0,0,0,0,2,2,14.08,14.08,14.08,0.59,4.18,0,NA,-1
"25","ALEX.BURROWS","2017-04-17","OTT","L",11.27,1,1,1,0.03,0,0,0,0,0,1,2,0,0,1,5.32,5.32,5.32,0.17,3.18,0,NA,0
"26","ALEX.BURROWS","2017-04-15","OTT","L",10.54,6,5,2,0.21,1,0,0,0,0,5,0,1,0,1,34.16,28.46,11.39,1.2,4.2,5.69,NA,0
"27","ALEX.BURROWS","2017-04-12","OTT","L",11.1,2,1,1,0.02,0,0,0,0,0,0,0,0,0,1,10.81,5.41,5.41,0.11,2.04,0,NA,0
"28","ALEX.CHIASSON","2017-04-19","CGY","R",11.32,2,1,1,0.12,1,0,0,0,0,3,1,0,1,0,10.6,5.3,5.3,0.65,12.29,5.3,NA,0
"29","ALEX.CHIASSON","2017-04-17","CGY","R",14.42,1,0,0,0,0,0,0,0,1,4,2,0,1,1,4.16,0,0,0,NA,0,NA,1
"30","ALEX.CHIASSON","2017-04-15","CGY","R",10.14,1,0,0,0,0,0,0,0,0,2,3,0,0,2,5.92,0,0,0,NA,0,NA,0
"31","ALEX.CHIASSON","2017-04-13","CGY","R",11.8,2,1,1,0.09,1,0,0,0,0,2,4,0,0,0,10.17,5.08,5.08,0.47,9.3,5.08,NA,0
"32","ALEXEI.EMELIN","2017-04-22","MTL","D",14.38,1,1,1,0.06,0,0,0,0,0,1,2,0,0,1,4.17,4.17,4.17,0.27,6.39,0,NA,0
"33","ALEXEI.EMELIN","2017-04-20","MTL","D",18.95,3,2,1,0.03,0,0,0,1,0,7,4,1,0,3,9.5,6.33,3.17,0.08,1.31,0,NA,-1
"34","ALEX.GALCHENYUK","2017-04-22","MTL","C",11.87,5,1,1,0.03,0,0,0,0,1,1,2,2,3,1,25.27,5.05,5.05,0.17,3.39,0,NA,1
"35","ALEX.GALCHENYUK","2017-04-20","MTL","C",14.37,3,2,1,0.11,0,1,1,0,0,0,4,0,0,2,12.53,8.35,4.18,0.45,5.38,0,0.5,0
"36","ALEX.GALCHENYUK","2017-04-18","MTL","C",11.52,2,2,2,0.37,1,2,4,0,0,0,2,0,0,0,10.42,10.42,10.42,1.93,18.5,5.21,0.33,0
"37","ALEX.GALCHENYUK","2017-04-16","MTL","C",11.08,1,0,0,0,0,5,3,0,0,0,2,0,0,0,5.42,0,0,0,NA,0,0.62,0
"38","ALEX.GALCHENYUK","2017-04-14","MTL","C",15.54,5,5,2,0.44,1,1,2,0,0,0,3,0,1,1,19.31,19.31,7.72,1.69,8.75,3.86,0.33,0
"39","ALEX.GALCHENYUK","2017-04-12","MTL","C",10.49,4,4,3,0.22,1,0,0,0,0,0,1,3,0,0,22.88,22.88,17.16,1.23,5.38,5.72,NA,0
"40","ALEX.OVECHKIN","2017-05-10","WSH","L",12.98,6,4,3,0.39,1,0,0,0,0,4,1,0,1,0,27.73,18.49,13.87,1.79,9.67,4.62,NA,0
"41","ALEX.OVECHKIN","2017-05-08","WSH","L",11.72,3,1,1,0.03,0,0,0,0,0,3,0,0,0,0,15.36,5.12,5.12,0.14,2.76,0,NA,0
"42","ALEX.OVECHKIN","2017-05-06","WSH","L",12.45,5,4,2,0.47,3,0,0,0,0,5,0,1,0,1,24.1,19.28,9.64,2.24,11.64,14.46,NA,0
"43","ALEX.OVECHKIN","2017-05-03","WSH","L",12.2,2,1,1,0.02,0,0,0,1,0,3,0,0,0,0,9.84,4.92,4.92,0.1,2.13,0,NA,-1
"44","ALEX.OVECHKIN","2017-05-01","WSH","L",12.36,2,1,1,0.32,1,0,0,0,0,4,1,0,0,0,9.71,4.85,4.85,1.53,31.57,4.85,NA,0
"45","ALEX.OVECHKIN","2017-04-29","WSH","L",14.93,6,3,1,0.12,0,0,0,0,0,4,1,0,0,1,24.11,12.06,4.02,0.49,4.09,0,NA,0
"46","ALEX.OVECHKIN","2017-04-27","WSH","L",17.01,5,4,2,0.15,0,0,0,1,0,6,1,0,0,0,17.64,14.11,7.05,0.54,3.85,0,NA,-1
"47","ALEX.OVECHKIN","2017-04-23","WSH","L",19.04,12,10,7,0.22,0,0,0,0,0,3,2,0,2,0,37.82,31.51,22.06,0.7,2.22,0,NA,0
"48","ALEX.OVECHKIN","2017-04-19","WSH","L",15.92,4,3,2,0.14,1,0,0,0,0,5,3,0,2,0,15.08,11.31,7.54,0.54,4.77,3.77,NA,0
"49","ALEX.OVECHKIN","2017-04-17","WSH","L",11.3,4,3,3,0.16,0,0,0,0,0,4,1,0,0,2,21.24,15.93,15.93,0.83,5.19,0,NA,0
"50","ALEX.OVECHKIN","2017-04-15","WSH","L",18.67,9,7,6,0.47,2,0,0,1,0,7,1,1,0,2,28.92,22.5,19.28,1.51,6.7,6.43,NA,-1
"51","ALEX.OVECHKIN","2017-04-13","WSH","L",16.27,3,2,0,0.2,2,0,0,0,0,3,0,0,1,0,11.06,7.38,0,0.76,10.24,7.38,NA,0
"52","ALEX.PIETRANGELO","2017-05-07","STL","D",18.34,4,2,2,0.06,0,0,0,0,0,1,4,0,0,0,13.09,6.54,6.54,0.19,2.85,0,NA,0
"53","ALEX.PIETRANGELO","2017-05-05","STL","D",19.24,3,3,3,0.07,0,0,0,0,0,1,3,0,0,1,9.36,9.36,9.36,0.21,2.28,0,NA,0
"54","ALEX.PIETRANGELO","2017-05-02","STL","D",15.4,4,3,3,0.1,0,0,0,0,0,3,0,0,1,1,15.58,11.69,11.69,0.37,3.18,0,NA,0
"55","ALEX.PIETRANGELO","2017-04-30","STL","D",17.66,4,1,1,0.01,0,0,0,0,0,0,2,1,0,1,13.59,3.4,3.4,0.03,0.75,0,NA,0
"56","ALEX.PIETRANGELO","2017-04-28","STL","D",17.07,3,1,1,0.02,0,0,0,0,0,0,1,1,1,5,10.54,3.51,3.51,0.07,1.99,0,NA,0
"57","ALEX.PIETRANGELO","2017-04-26","STL","D",18.35,2,2,1,0.06,0,0,0,0,0,0,1,0,0,2,6.54,6.54,3.27,0.19,2.91,0,NA,0
"58","ALEX.PIETRANGELO","2017-04-22","STL","D",21.64,1,1,0,0.01,0,0,0,0,0,0,3,0,0,2,2.77,2.77,0,0.02,0.65,0,NA,0
"59","ALEX.PIETRANGELO","2017-04-19","STL","D",21.37,4,3,2,0.15,1,0,0,0,0,0,3,1,0,1,11.23,8.42,5.62,0.43,5.06,2.81,NA,0
"60","ALEX.PIETRANGELO","2017-04-16","STL","D",15.24,1,1,1,0.03,0,0,0,0,0,1,3,0,0,3,3.94,3.94,3.94,0.11,2.9,0,NA,0
"61","ALEX.PIETRANGELO","2017-04-14","STL","D",18.4,3,3,2,0.06,0,0,0,0,0,0,4,0,1,2,9.78,9.78,6.52,0.19,1.94,0,NA,0
"62","ALEX.PIETRANGELO","2017-04-12","STL","D",26.81,6,5,4,0.13,0,0,0,1,1,0,2,0,0,3,13.43,11.19,8.95,0.28,2.51,0,NA,0
"63","ALEX.RADULOV","2017-04-22","MTL","R",17.57,1,0,0,0,0,0,0,0,0,1,0,1,1,1,3.41,0,0,0,NA,0,NA,0
"64","ALEX.RADULOV","2017-04-20","MTL","R",16.53,4,2,1,0.04,0,1,0,0,0,4,3,1,1,3,14.52,7.26,3.63,0.15,2.12,0,1,0
"65","ALEX.RADULOV","2017-04-18","MTL","R",15.01,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,NA,0,NA,0
"66","ALEX.RADULOV","2017-04-16","MTL","R",12.51,1,1,1,0.12,1,1,0,0,0,0,3,0,0,0,4.8,4.8,4.8,0.59,12.24,4.8,1,0
"67","ALEX.RADULOV","2017-04-14","MTL","R",16.87,7,6,6,0.68,2,0,0,2,0,7,2,1,0,0,24.9,21.34,21.34,2.42,11.34,7.11,NA,-2
"68","ALEX.RADULOV","2017-04-12","MTL","R",13.46,2,1,1,0.02,0,0,0,0,0,3,2,0,1,0,8.92,4.46,4.46,0.09,1.94,0,NA,0
"69","ALEX.STEEN","2017-05-07","STL","C",12.45,3,2,2,0.04,0,0,0,0,0,1,2,0,0,0,14.46,9.64,9.64,0.17,1.75,0,NA,0
