"","Player","Date","Team","Position","TOI","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF"
"1","ADAM.LARSSON","2017-05-05","EDM","D",43.9,2,1,1,0.02,0,0,0,0,0,2,3,1,2,4,2.73,1.37,1.37,0.02,1.76,0,NA,0
"2","ADAM.LARSSON","2017-05-03","EDM","D",21.4,4,1,1,0.02,0,0,0,0,0,2,3,1,1,2,11.21,2.8,2.8,0.05,1.64,0,NA,0
"3","ADAM.LARSSON","2017-04-30","EDM","D",20.03,2,2,1,0.04,0,0,0,1,0,6,2,1,1,1,5.99,5.99,3,0.11,1.8,0,NA,-1
"4","ADAM.LARSSON","2017-04-28","EDM","D",21.23,4,4,3,0.24,1,0,0,0,0,2,2,1,0,1,11.3,11.3,8.48,0.68,6.04,2.83,NA,0
"5","ADAM.LARSSON","2017-04-26","EDM","D",18.79,5,4,2,0.22,1,0,0,0,0,3,5,1,0,2,15.97,12.77,6.39,0.69,5.42,3.19,NA,0
"6","ADAM.LARSSON","2017-04-22","EDM","D",26.16,0,0,0,0,0,0,0,0,0,4,5,0,0,2,0,0,0,0,NA,0,NA,0
"7","ADAM.LARSSON","2017-04-20","EDM","D",26.63,6,3,2,0.05,0,0,0,0,0,3,1,1,0,2,13.52,6.76,4.51,0.11,1.66,0,NA,0
"8","ADAM.LARSSON","2017-04-18","EDM","D",22.57,2,2,1,0.06,0,0,0,0,0,1,1,0,0,3,5.32,5.32,2.66,0.15,2.85,0,NA,0
"9","ADAM.LARSSON","2017-04-16","EDM","D",21.6,2,1,1,0.01,0,0,0,0,0,0,4,2,0,0,5.56,2.78,2.78,0.03,1.26,0,NA,0
"10","ADAM.LARSSON","2017-04-14","EDM","D",21.01,2,1,1,0.01,0,0,0,1,0,6,2,2,0,1,5.71,2.86,2.86,0.04,1.23,0,NA,-1
"11","ADAM.LARSSON","2017-04-12","EDM","D",22.09,3,2,1,0.08,0,0,0,0,1,8,2,1,0,2,8.15,5.43,2.72,0.21,3.79,0,NA,1
"12","ADAM.MCQUAID","2017-04-15","BOS","D",2.78,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,0,NA,1
"13","ADAM.MCQUAID","2017-04-12","BOS","D",20.84,4,2,2,0.03,0,0,0,0,0,1,3,0,0,3,11.52,5.76,5.76,0.08,1.4,0,NA,0
"14","ALEX.BURROWS","2017-05-06","OTT","L",14.87,2,2,2,0.04,0,0,0,0,1,1,3,0,1,1,8.07,8.07,8.07,0.17,2.1,0,NA,1
"15","ALEX.BURROWS","2017-05-04","OTT","L",11.45,2,0,0,0,0,0,1,1,0,3,4,0,0,0,10.48,0,0,0,NA,0,0,-1
"16","ALEX.BURROWS","2017-05-02","OTT","L",14.3,3,2,1,0.12,0,0,0,0,0,2,4,2,0,1,12.59,8.39,4.2,0.52,6.24,0,NA,0
"17","ALEX.BURROWS","2017-04-29","OTT","L",18.55,8,5,2,0.36,2,0,0,0,0,4,5,0,0,0,25.88,16.17,6.47,1.18,7.28,6.47,NA,0
"18","ALEX.BURROWS","2017-04-27","OTT","L",13.66,3,2,2,0.11,0,0,0,0,0,4,3,0,0,0,13.18,8.78,8.78,0.48,5.51,0,NA,0
"19","ALEX.BURROWS","2017-04-23","OTT","L",15.12,2,2,1,0.19,2,0,0,0,0,2,0,0,1,0,7.94,7.94,3.97,0.76,9.6,7.94,NA,0
"20","ALEX.BURROWS","2017-04-19","OTT","L",15.71,4,4,4,0.28,1,0,0,1,0,0,0,0,2,2,15.28,15.28,15.28,1.05,6.89,3.82,NA,-1
"21","ALEX.BURROWS","2017-04-17","OTT","L",14.61,1,1,1,0.03,0,0,0,0,0,1,2,1,0,1,4.11,4.11,4.11,0.13,3.18,0,NA,0
"22","ALEX.BURROWS","2017-04-15","OTT","L",13.18,6,5,2,0.21,1,0,0,1,0,5,0,2,0,1,27.31,22.76,9.1,0.96,4.2,4.55,NA,-1
"23","ALEX.BURROWS","2017-04-12","OTT","L",11.37,2,1,1,0.02,0,0,0,0,0,0,0,0,0,1,10.55,5.28,5.28,0.11,2.04,0,NA,0
"24","ALEX.CHIASSON","2017-04-19","CGY","R",12.69,2,1,1,0.12,1,0,0,1,0,3,1,0,1,0,9.46,4.73,4.73,0.58,12.29,4.73,NA,-1
"25","ALEX.CHIASSON","2017-04-17","CGY","R",14.7,1,0,0,0,0,0,0,0,1,4,2,0,1,1,4.08,0,0,0,NA,0,NA,1
"26","ALEX.CHIASSON","2017-04-15","CGY","R",11.01,1,0,0,0,0,0,0,0,0,2,3,0,0,2,5.45,0,0,0,NA,0,NA,0
"27","ALEX.CHIASSON","2017-04-13","CGY","R",12.87,2,1,1,0.09,1,0,0,0,0,2,4,0,0,0,9.32,4.66,4.66,0.43,9.3,4.66,NA,0
"28","ALEXEI.EMELIN","2017-04-22","MTL","D",16.18,1,1,1,0.06,0,0,0,0,0,1,2,0,0,1,3.71,3.71,3.71,0.24,6.39,0,NA,0
"29","ALEXEI.EMELIN","2017-04-20","MTL","D",19.63,3,2,1,0.03,0,0,0,1,0,7,4,1,0,3,9.17,6.11,3.06,0.08,1.31,0,NA,-1
