"","Player","Date","Team","Position","TOI","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF"
"1","ADAM.LARSSON","2017-05-10","EDM","D",21.89,3,2,1,0.03,0,0,0,0,0,5,2,0,0,4,8.22,5.48,2.74,0.08,1.39,0,NA,0
"2","ADAM.LARSSON","2017-05-07","EDM","D",20.04,3,3,0,0.03,0,0,0,0,0,0,7,1,1,2,8.98,8.98,0,0.09,1.06,0,NA,0
"3","ADAM.LARSSON","2017-05-05","EDM","D",43.9,2,1,1,0.02,0,0,0,0,0,2,3,1,2,4,2.73,1.37,1.37,0.02,1.76,0,NA,0
"4","ADAM.LARSSON","2017-05-03","EDM","D",21.4,4,1,1,0.02,0,0,0,0,0,2,3,1,1,2,11.21,2.8,2.8,0.05,1.64,0,NA,0
"5","ADAM.LARSSON","2017-04-30","EDM","D",20.03,2,2,1,0.04,0,0,0,1,0,6,2,1,1,1,5.99,5.99,3,0.11,1.8,0,NA,-1
"6","ADAM.LARSSON","2017-04-28","EDM","D",21.23,4,4,3,0.24,1,0,0,0,0,2,2,1,0,1,11.3,11.3,8.48,0.68,6.04,2.83,NA,0
"7","ADAM.LARSSON","2017-04-26","EDM","D",18.79,5,4,2,0.22,1,0,0,0,0,3,5,1,0,2,15.97,12.77,6.39,0.69,5.42,3.19,NA,0
"8","ADAM.LARSSON","2017-04-22","EDM","D",26.16,0,0,0,0,0,0,0,0,0,4,5,0,0,2,0,0,0,0,NA,0,NA,0
"9","ADAM.LARSSON","2017-04-20","EDM","D",26.63,6,3,2,0.05,0,0,0,0,0,3,1,1,0,2,13.52,6.76,4.51,0.11,1.66,0,NA,0
"10","ADAM.LARSSON","2017-04-18","EDM","D",22.57,2,2,1,0.06,0,0,0,0,0,1,1,0,0,3,5.32,5.32,2.66,0.15,2.85,0,NA,0
"11","ADAM.LARSSON","2017-04-16","EDM","D",21.6,2,1,1,0.01,0,0,0,0,0,0,4,2,0,0,5.56,2.78,2.78,0.03,1.26,0,NA,0
"12","ADAM.LARSSON","2017-04-14","EDM","D",21.01,2,1,1,0.01,0,0,0,1,0,6,2,2,0,1,5.71,2.86,2.86,0.04,1.23,0,NA,-1
"13","ADAM.LARSSON","2017-04-12","EDM","D",22.09,3,2,1,0.08,0,0,0,0,1,8,2,1,0,2,8.15,5.43,2.72,0.21,3.79,0,NA,1
"14","ADAM.MCQUAID","2017-04-15","BOS","D",2.78,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,0,NA,1
"15","ADAM.MCQUAID","2017-04-12","BOS","D",20.84,4,2,2,0.03,0,0,0,0,0,1,3,0,0,3,11.52,5.76,5.76,0.08,1.4,0,NA,0
"16","ALEX.BURROWS","2017-05-13","OTT","L",10.85,2,2,2,0.27,1,0,0,0,0,0,3,2,1,0,11.06,11.06,11.06,1.49,13.49,5.53,NA,0
"17","ALEX.BURROWS","2017-05-09","OTT","L",14.2,1,1,1,0.01,0,0,0,1,0,0,2,0,1,2,4.23,4.23,4.23,0.03,0.78,0,NA,-1
"18","ALEX.BURROWS","2017-05-06","OTT","L",14.87,2,2,2,0.04,0,0,0,0,1,1,3,0,1,1,8.07,8.07,8.07,0.17,2.1,0,NA,1
"19","ALEX.BURROWS","2017-05-04","OTT","L",11.45,2,0,0,0,0,0,1,1,0,3,4,0,0,0,10.48,0,0,0,NA,0,0,-1
"20","ALEX.BURROWS","2017-05-02","OTT","L",14.3,3,2,1,0.12,0,0,0,0,0,2,4,2,0,1,12.59,8.39,4.2,0.52,6.24,0,NA,0
"21","ALEX.BURROWS","2017-04-29","OTT","L",18.55,8,5,2,0.36,2,0,0,0,0,4,5,0,0,0,25.88,16.17,6.47,1.18,7.28,6.47,NA,0
"22","ALEX.BURROWS","2017-04-27","OTT","L",13.66,3,2,2,0.11,0,0,0,0,0,4,3,0,0,0,13.18,8.78,8.78,0.48,5.51,0,NA,0
"23","ALEX.BURROWS","2017-04-23","OTT","L",15.12,2,2,1,0.19,2,0,0,0,0,2,0,0,1,0,7.94,7.94,3.97,0.76,9.6,7.94,NA,0
