"","Player","Date","Team","Position","TOI","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF"
"1","ADAM.LARSSON","2017-05-05","EDM","D",35.99,2,1,1,0.02,0,0,0,0,0,1,3,1,1,3,3.33,1.67,1.67,0.03,1.76,0,NA,0
"2","ADAM.LARSSON","2017-05-03","EDM","D",16.64,4,1,1,0.02,0,0,0,0,0,1,3,1,1,0,14.42,3.61,3.61,0.06,1.64,0,NA,0
"3","ADAM.LARSSON","2017-04-30","EDM","D",16.71,0,0,0,0,0,0,0,1,0,6,2,1,1,0,0,0,0,0,NA,0,NA,-1
"4","ADAM.LARSSON","2017-04-28","EDM","D",16.37,4,4,3,0.24,1,0,0,0,0,2,2,1,0,1,14.66,14.66,11,0.89,6.04,3.67,NA,0
"5","ADAM.LARSSON","2017-04-26","EDM","D",17.16,5,4,2,0.22,1,0,0,0,0,3,5,0,0,2,17.48,13.99,6.99,0.76,5.42,3.5,NA,0
"6","ADAM.LARSSON","2017-04-22","EDM","D",20.77,0,0,0,0,0,0,0,0,0,4,5,0,0,2,0,0,0,0,NA,0,NA,0
"7","ADAM.LARSSON","2017-04-20","EDM","D",25.58,6,3,2,0.05,0,0,0,0,0,3,1,0,0,2,14.07,7.04,4.69,0.12,1.66,0,NA,0
"8","ADAM.LARSSON","2017-04-18","EDM","D",15.98,2,2,1,0.06,0,0,0,0,0,1,1,0,0,3,7.51,7.51,3.75,0.21,2.85,0,NA,0
"9","ADAM.LARSSON","2017-04-16","EDM","D",18.03,2,1,1,0.01,0,0,0,0,0,0,4,2,0,0,6.66,3.33,3.33,0.04,1.26,0,NA,0
"10","ADAM.LARSSON","2017-04-14","EDM","D",15.73,2,1,1,0.01,0,0,0,1,0,5,2,2,0,0,7.63,3.81,3.81,0.05,1.23,0,NA,-1
"11","ADAM.LARSSON","2017-04-12","EDM","D",16.76,2,1,1,0.02,0,0,0,0,1,7,2,1,0,2,7.16,3.58,3.58,0.08,2.17,0,NA,1
