"","Player","Date","Team","Position","TOI","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF"
"1221","PATRICK.MAROON","2017-04-14","EDM","L",11.59,6,3,2,0.18,0,0,0,2,0,1,1,0,1,0,31.06,15.53,10.35,0.91,5.87,0,NA,-2
"1222","PATRICK.MAROON","2017-04-12","EDM","L",14.5,1,1,0,0.16,1,0,0,1,0,2,3,2,0,0,4.14,4.14,0,0.66,15.89,4.14,NA,-1
"1223","PATRIK.BERGLUND","2017-04-26","STL","C",13.2,0,0,0,0,0,6,9,0,0,1,0,0,0,0,0,0,0,0,NA,0,0.4,0
"1224","PATRIK.BERGLUND","2017-04-22","STL","C",14.33,5,4,3,0.27,1,5,11,0,0,0,1,0,1,0,20.94,16.75,12.56,1.13,6.73,4.19,0.31,0
"1225","PATRIK.BERGLUND","2017-04-19","STL","C",14.3,1,1,0,0.03,0,6,4,0,0,4,0,0,0,0,4.2,4.2,0,0.14,3.43,0,0.6,0
"1226","PATRIK.BERGLUND","2017-04-16","STL","C",10.46,1,0,0,0,0,4,7,0,0,3,0,0,0,0,5.74,0,0,0,NA,0,0.36,0
"1227","PATRIK.BERGLUND","2017-04-14","STL","C",10.72,0,0,0,0,0,6,4,0,0,0,1,0,0,1,0,0,0,0,NA,0,0.6,0
"1228","PATRIK.BERGLUND","2017-04-12","STL","C",18.36,3,2,1,0.01,0,7,12,1,0,1,5,0,1,0,9.8,6.54,3.27,0.03,0.53,0,0.37,-1
"1229","PAUL.BYRON","2017-04-22","MTL","C",13.63,1,1,1,0.02,0,0,0,0,0,3,2,1,1,1,4.4,4.4,4.4,0.08,1.84,0,NA,0
"1230","PAUL.BYRON","2017-04-20","MTL","C",18.96,1,1,1,0.05,0,0,0,0,1,6,2,0,0,0,3.16,3.16,3.16,0.17,5.35,0,NA,1
"1231","PAUL.BYRON","2017-04-18","MTL","C",12.9,1,1,0,0.03,0,0,0,0,0,1,5,0,0,3,4.65,4.65,0,0.12,2.66,0,NA,0
"1232","PAUL.BYRON","2017-04-16","MTL","C",12.12,2,2,2,0.28,1,0,0,0,0,1,3,1,0,0,9.9,9.9,9.9,1.38,13.92,4.95,NA,0
"1233","PAUL.BYRON","2017-04-14","MTL","C",17.2,6,4,3,0.51,2,0,1,0,1,8,2,0,1,0,20.93,13.95,10.47,1.77,12.69,6.98,0,1
"1234","PAUL.BYRON","2017-04-12","MTL","C",9.83,1,0,0,0,0,0,0,0,0,6,0,0,0,0,6.1,0,0,0,NA,0,NA,0
"1235","PAUL.MARTIN","2017-04-22","S.J","D",16.54,1,0,0,0,0,0,0,0,0,0,1,2,1,2,3.63,0,0,0,NA,0,NA,0
"1236","PAUL.MARTIN","2017-04-20","S.J","D",21.62,2,1,0,0.05,0,0,0,0,0,1,3,1,1,4,5.55,2.78,0,0.14,4.93,0,NA,0
"1237","PAUL.MARTIN","2017-04-18","S.J","D",13.98,2,1,1,0.07,0,0,0,1,0,2,2,0,0,1,8.58,4.29,4.29,0.29,6.75,0,NA,-1
"1238","PAUL.MARTIN","2017-04-16","S.J","D",21.34,2,2,1,0.07,0,0,0,0,0,2,0,1,1,2,5.62,5.62,2.81,0.21,3.73,0,NA,0
"1239","PAUL.MARTIN","2017-04-14","S.J","D",12.91,2,1,1,0.01,0,0,0,1,0,2,3,0,1,2,9.3,4.65,4.65,0.04,0.76,0,NA,-1
"1240","PAUL.MARTIN","2017-04-12","S.J","D",16.91,2,2,1,0.06,0,0,0,0,0,3,5,0,0,0,7.1,7.1,3.55,0.23,3.22,0,NA,0
"1241","PAUL.STASTNY","2017-04-26","STL","C",16.07,3,3,2,0.16,0,8,6,0,0,0,1,0,0,0,11.2,11.2,7.47,0.6,5.33,0,0.57,0
"1242","PAUL.STASTNY","2017-04-22","STL","C",16.68,3,3,3,0.51,2,8,10,0,0,0,0,0,1,0,10.79,10.79,10.79,1.83,16.98,7.19,0.44,0
"1243","PAVEL.BUCHNEVICH","2017-04-27","NYR","L",12.63,3,2,1,0.06,0,0,0,0,0,0,2,0,0,2,14.25,9.5,4.75,0.29,3.1,0,NA,0
"1244","PAVEL.BUCHNEVICH","2017-04-22","NYR","L",12.18,3,2,1,0.16,1,0,0,0,1,0,3,1,0,1,14.78,9.85,4.93,0.81,8.22,4.93,NA,1
"1245","PAVEL.BUCHNEVICH","2017-04-20","NYR","L",12.87,4,2,2,0.2,1,0,0,0,1,2,0,0,0,1,18.65,9.32,9.32,0.94,10.13,4.66,NA,1
"1246","PAVEL.BUCHNEVICH","2017-04-18","NYR","L",10.34,3,3,3,0.11,0,0,0,0,0,2,1,0,0,0,17.41,17.41,17.41,0.63,3.62,0,NA,0
"1247","PHIL.KESSEL","2017-04-27","PIT","C",13.66,5,3,2,0.17,1,0,0,0,0,0,0,0,2,0,21.96,13.18,8.78,0.73,5.54,4.39,NA,0
"1248","PHIL.KESSEL","2017-04-20","PIT","C",9.6,1,1,1,0.03,0,0,0,0,0,0,0,0,1,0,6.25,6.25,6.25,0.16,2.59,0,NA,0
"1249","PHIL.KESSEL","2017-04-18","PIT","C",15.31,4,3,3,0.06,0,0,0,0,0,0,1,0,1,0,15.68,11.76,11.76,0.23,1.95,0,NA,0
"1250","PHIL.KESSEL","2017-04-16","PIT","C",16.91,11,5,4,0.08,0,0,0,0,0,0,1,0,0,0,39.03,17.74,14.19,0.29,1.62,0,NA,0
"1251","PHIL.KESSEL","2017-04-14","PIT","C",13.9,5,3,1,0.09,0,0,0,0,0,0,1,0,0,0,21.58,12.95,4.32,0.41,3.15,0,NA,0
"1252","PHIL.KESSEL","2017-04-12","PIT","C",13.21,6,4,4,0.22,1,0,0,0,1,1,0,0,1,0,27.25,18.17,18.17,1,5.52,4.54,NA,1
"1253","PHILLIP.DANAULT","2017-04-22","MTL","L",15.68,2,1,1,0.12,1,8,4,0,0,7,1,1,0,1,7.65,3.83,3.83,0.44,11.54,3.83,0.67,0
"1254","PHILLIP.DANAULT","2017-04-20","MTL","L",16.54,2,1,1,0.01,0,9,5,0,0,0,0,0,2,1,7.26,3.63,3.63,0.05,1.45,0,0.64,0
"1255","PHILLIP.DANAULT","2017-04-18","MTL","L",13.16,4,4,2,0.2,1,12,4,0,0,3,1,0,0,0,18.24,18.24,9.12,0.89,4.89,4.56,0.75,0
