"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ANTTI.NIEMI","2017-2018","PIT/MTL",5,251.62,146,21,85.62,89.42,-3.8,91.89,92.86,66.67,-5.55
"MATTHEW.MURRAY","2017-2018","PIT",30,1653.8,841,82,90.25,90.98,-0.73,96.37,91.32,79.41,-6.16
"TRISTAN.JARRY","2017-2018","PIT",13,660.17,332,26,92.17,90.87,1.3,98.51,92.74,79.73,4.31
