"","Player","Date","Team","TOI","CA","GA","xGA","FA","CA60","CSv%","FA60","FSv%","xGA60","xFSv%","Adj.FSv%"
"103","PEKKA.RINNE","2017-04-26","NSH",2.13,4,0,0.38,4,112.68,100,112.68,100,10.63,90.56,9.44
"104","PEKKA.RINNE","2017-04-20","NSH",2.13,2,1,0.25,2,56.34,50,56.34,50,7.16,87.29,-37.29
"105","PEKKA.RINNE","2017-04-17","NSH",5.2,9,1,0.3,7,103.85,88.89,80.77,85.71,3.45,95.73,-10.02
"106","PEKKA.RINNE","2017-04-15","NSH",4.09,7,0,0.41,5,102.69,100,73.35,100,5.96,91.88,8.12
"107","PEKKA.RINNE","2017-04-13","NSH",4.37,6,0,0.15,3,82.38,100,41.19,100,2.03,95.08,4.92
"108","PHILIPP.GRUBAUER","2017-04-29","WSH",3.08,5,1,0.14,4,97.4,80,77.92,75,2.67,96.57,-21.57
"109","SERGEI.BOBROVSKY","2017-04-20","CBJ",4.83,12,2,0.72,9,149.07,83.33,111.8,77.78,8.97,91.98,-14.2
"110","SERGEI.BOBROVSKY","2017-04-18","CBJ",5.28,8,1,1.22,8,90.91,87.5,90.91,87.5,13.86,84.75,2.75
"111","SERGEI.BOBROVSKY","2017-04-16","CBJ",5.92,16,1,2.4,11,162.16,93.75,111.49,90.91,24.29,78.22,12.69
"112","SERGEI.BOBROVSKY","2017-04-14","CBJ",2.6,3,0,0.12,2,69.23,100,46.15,100,2.79,93.96,6.04
"113","SERGEI.BOBROVSKY","2017-04-12","CBJ",4.98,13,1,0.94,10,156.63,92.31,120.48,90,11.3,90.62,-0.62
"114","TUUKKA.RASK","2017-04-23","BOS",7.99,7,2,0.39,4,52.57,71.43,30.04,50,2.92,90.27,-40.27
"115","TUUKKA.RASK","2017-04-19","BOS",6.64,9,0,0.26,5,81.33,100,45.18,100,2.33,94.85,5.15
"116","TUUKKA.RASK","2017-04-17","BOS",7.13,14,2,0.79,11,117.81,85.71,92.57,81.82,6.63,92.84,-11.02
"117","TUUKKA.RASK","2017-04-15","BOS",5.75,8,1,0.23,5,83.48,87.5,52.17,80,2.37,95.47,-15.47
"118","TUUKKA.RASK","2017-04-12","BOS",1.03,2,0,0.1,1,116.5,100,58.25,100,5.69,90.24,9.76
