"","Player","Date","Team","TOI","CA","GA","xGA","FA","CA60","CSv%","FA60","FSv%","xGA60","xFSv%","Adj.FSv%"
"1","BRADEN.HOLTBY","2017-04-19","WSH",2.12,8,0,0.72,7,226.42,100,198.11,100,20.34,89.73,10.27
"2","BRIAN.ELLIOTT","2017-04-13","CGY",0.53,1,0,0.07,1,113.21,100,113.21,100,7.8,93.11,6.89
"3","CAM.TALBOT","2017-04-30","EDM",0.22,0,0,0,0,0,NA,0,NA,0,NA,NA
"4","CAM.TALBOT","2017-04-26","EDM",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"5","CAM.TALBOT","2017-04-18","EDM",1.17,4,0,0.42,4,205.13,100,205.13,100,21.47,89.53,10.47
"6","CAREY.PRICE","2017-04-12","MTL",0.72,2,0,0.04,1,166.67,100,83.33,100,3.46,95.85,4.15
"7","COREY.CRAWFORD","2017-04-15","CHI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"8","CRAIG.ANDERSON","2017-04-17","OTT",0.25,0,0,0,0,0,NA,0,NA,0,NA,NA
"9","DEVAN.DUBNYK","2017-04-22","MIN",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"10","DEVAN.DUBNYK","2017-04-12","MIN",1,0,0,0,0,0,NA,0,NA,0,NA,NA
"11","FREDERIK.ANDERSEN","2017-04-17","TOR",2.45,7,0,0.38,6,171.43,100,146.94,100,9.25,93.71,6.29
"12","FREDERIK.ANDERSEN","2017-04-13","TOR",1.53,2,0,0.05,2,78.43,100,78.43,100,2.04,97.4,2.6
"13","HENRIK.LUNDQVIST","2017-04-12","NYR",0.35,0,0,0,0,0,NA,0,NA,0,NA,NA
"14","JAKE.ALLEN","2017-05-05","STL",1.15,4,1,0.23,3,208.7,75,156.52,66.67,12.15,92.24,-25.57
"15","JAKE.ALLEN","2017-05-02","STL",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"16","JAKE.ALLEN","2017-04-26","STL",0.68,1,0,0.05,1,88.24,100,88.24,100,4.19,95.25,4.75
"17","JAKE.ALLEN","2017-04-19","STL",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"18","JAKE.ALLEN","2017-04-14","STL",0.57,2,1,0.39,2,210.53,50,210.53,50,40.55,80.74,-30.74
"19","JOHN.GIBSON","2017-05-05","ANA",0.95,3,1,0.83,3,189.47,66.67,189.47,66.67,52.38,72.35,-5.69
"20","JOHN.GIBSON","2017-04-26","ANA",0.62,3,1,0.37,3,290.32,66.67,290.32,66.67,36.27,87.51,-20.84
"21","JOHN.GIBSON","2017-04-13","ANA",1.33,2,0,0.06,1,90.23,100,45.11,100,2.78,93.84,6.16
"22","JONATHAN.BERNIER","2017-05-07","ANA",1.77,6,0,0.82,5,203.39,100,169.49,100,27.66,83.68,16.32
"23","LAURENT.BROSSOIT","2017-04-18","EDM",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"24","MARC-ANDRE.FLEURY","2017-05-03","PIT",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"25","MARC-ANDRE.FLEURY","2017-05-01","PIT",0.9,2,1,0.17,2,133.33,50,133.33,50,11.62,91.29,-41.29
"26","MARTIN.JONES","2017-04-20","S.J",0.35,0,0,0,0,0,NA,0,NA,0,NA,NA
"27","MIKE.CONDON","2017-05-04","OTT",0.38,1,0,0.04,1,157.89,100,157.89,100,6.34,95.99,4.01
"28","PEKKA.RINNE","2017-05-05","NSH",1.93,6,0,0.25,3,186.53,100,93.26,100,7.92,91.51,8.49
"29","SERGEI.BOBROVSKY","2017-04-14","CBJ",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
